,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
50,343205,Soundview,New York,NY,New York-Newark-Jersey City,Bronx,51,35.8,44.48,53.47,58.36,62.78,63.72,60.35,56.71,52.76,52.13,53.08,49.76,45.11,33.91,29.65,20.88,18.8,15.72,9.05,5.5,24.75,5.13,28.61,34.35,37.78,43.9,49.57,49.21,48.0,46.17,39.98,4.26,3.77,3.28,8.52,10.34,13.14,4.38,2.07,1.7,1.7,0.97,2.92,4.26,2.07,2.19,4.01,2.55,1.7,5.59,5.71,5.59,7.17,7.78,6.93,9.96,17.38,22.24,40.1,55.04
53,193640,Canarsie,New York,NY,New York-Newark-Jersey City,Kings,54,22.79,23.46,21.53,20.66,20.92,20.12,21.61,24.42,26.78,28.75,37.89,47.85,53.55,54.93,59.47,63.17,59.11,56.61,52.4,47.47,47.82,44.13,33.97,22.94,20.96,19.01,12.5,11.62,16.25,17.81,20.51,15.33,14.83,14.44,15.46,18.4,20.64,22.36,21.17,23.69,23.67,15.88,11.48,15.59,14.81,17.16,18.09,17.32,12.45,15.26,14.11,12.03,16.06,21.04,21.71,21.89,20.3,22.25,17.1,20.28
59,270875,Lower East Side,New York,NY,New York-Newark-Jersey City,New York,60,6.36,6.07,7.22,7.59,10.11,10.23,11.22,14.54,15.98,15.81,17.61,18.13,18.65,21.11,22.1,23.75,22.15,21.65,25.82,25.05,23.63,19.93,19.3,19.05,20.88,25.43,20.23,15.89,22.76,17.66,22.26,23.91,24.86,25.41,12.89,10.54,11.94,11.27,10.02,11.74,13.89,12.22,15.44,14.17,15.07,15.67,19.65,21.94,15.09,16.74,17.92,18.86,21.08,26.68,33.33,53.58,55.18,59.08,68.12,72.45
63,18131,Flushing,New York,NY,New York-Newark-Jersey City,Queens,64,15.11,15.47,16.41,15.52,14.33,13.15,19.7,23.58,24.91,25.69,25.04,27.37,27.23,30.34,32.32,35.56,36.16,38.83,40.93,40.06,34.62,30.65,34.33,27.57,40.73,38.36,40.52,43.17,43.03,42.61,41.91,35.64,30.6,22.23,19.29,18.02,16.99,16.56,17.39,17.84,14.55,3.82,3.91,3.25,3.71,5.52,4.9,6.16,4.46,4.96,6.04,5.21,8.45,14.87,15.49,12.78,10.1,9.66,10.69,10.95
64,27182,South Ozone Park,New York,NY,New York-Newark-Jersey City,Queens,65,8.56,7.91,8.5,6.74,5.42,4.15,4.81,11.5,15.87,18.12,17.07,17.36,18.03,18.38,20.87,25.53,26.02,28.05,19.64,7.74,4.87,4.35,4.54,4.24,8.34,11.62,11.51,12.32,10.9,10.11,9.71,1.38,1.47,2.25,1.74,1.53,1.28,1.44,1.72,2.74,3.47,3.2,4.56,4.46,4.89,8.26,6.53,6.49,3.78,2.44,4.42,6.66,9.34,16.21,16.96,18.33,13.55,14.5,16.7,23.67
76,196538,Murray Hill,New York,NY,New York-Newark-Jersey City,Queens,77,6.72,6.49,6.1,5.96,5.47,4.74,10.76,15.59,18.08,19.55,19.04,20.06,19.8,22.62,25.36,27.74,28.1,30.47,24.39,21.13,18.01,15.36,19.99,22.78,28.99,28.77,23.83,25.5,22.55,20.91,21.63,18.65,17.73,17.41,15.41,15.16,14.75,12.62,11.18,8.95,8.17,2.51,3.4,2.97,3.38,6.51,4.62,4.7,2.82,3.15,3.55,3.51,4.53,14.33,16.7,15.24,12.32,12.59,17.98,24.51
82,18071,Far Rockaway,New York,NY,New York-Newark-Jersey City,Queens,83,37.77,28.63,27.33,31.39,31.64,34.4,28.74,34.0,35.3,33.74,33.42,30.05,30.87,32.45,36.65,33.97,34.84,34.7,34.93,37.36,32.08,33.45,38.01,44.65,46.82,50.43,35.74,36.06,29.79,26.29,24.7,19.74,19.37,27.05,20.73,17.35,14.55,12.18,11.01,9.97,10.07,6.86,9.49,8.49,7.42,4.84,3.11,3.44,5.59,10.07,10.07,12.07,14.41,24.68,26.56,28.43,22.7,21.87,36.75,53.43
83,273757,Forest Hills,New York,NY,New York-Newark-Jersey City,Queens,84,24.61,26.65,26.49,25.0,23.0,19.44,41.96,48.75,51.15,53.44,52.98,52.65,52.11,52.36,53.8,55.81,56.81,59.4,59.08,56.43,52.07,43.61,39.25,37.19,38.92,37.59,55.18,52.46,53.1,50.09,48.89,33.85,32.48,28.02,25.16,19.35,18.0,18.15,15.96,11.47,6.02,3.97,4.87,4.57,4.5,4.88,4.83,5.61,4.19,5.19,5.0,4.86,7.64,12.44,14.3,14.43,12.03,12.48,17.24,21.23
88,275173,Ridgewood,New York,NY,New York-Newark-Jersey City,Queens,89,4.79,5.54,8.82,10.2,8.19,6.55,8.31,16.25,20.15,23.55,24.31,25.44,22.06,21.44,19.45,18.61,17.84,15.74,6.69,4.71,4.09,5.46,5.22,6.59,11.44,14.2,12.56,16.67,18.53,20.52,23.13,7.45,9.44,33.66,24.6,24.35,22.01,20.55,15.36,2.25,2.12,1.25,1.88,1.75,2.88,1.88,2.25,2.88,2.63,4.76,7.51,10.53,12.02,32.42,41.43,32.29,26.38,11.88,11.49,22.72
90,270829,East Village,New York,NY,New York-Newark-Jersey City,New York,91,6.27,5.81,8.06,9.82,11.83,12.43,11.43,13.7,16.61,17.78,19.8,22.85,25.34,26.14,25.39,25.22,24.53,23.82,24.4,23.02,19.87,17.43,14.17,12.5,16.2,19.09,14.27,11.84,11.75,10.58,13.29,15.52,15.64,13.12,11.71,12.26,16.05,14.82,19.68,21.59,27.78,23.48,25.39,21.82,20.68,21.76,24.94,28.85,23.82,25.53,24.69,27.15,31.36,39.27,47.82,54.99,56.41,65.69,73.56,70.61
92,197044,Park Slope,New York,NY,New York-Newark-Jersey City,Kings,93,11.52,11.5,11.29,11.08,11.27,10.3,11.6,13.39,15.75,17.03,19.48,21.44,23.46,24.09,24.89,25.25,24.33,23.95,24.26,24.14,24.22,25.53,24.83,23.14,20.93,20.38,22.21,22.41,23.79,23.88,25.07,24.65,25.53,22.17,21.87,18.06,18.1,19.37,17.74,20.26,21.98,22.67,20.49,20.53,20.86,23.71,23.8,22.97,21.15,22.41,24.62,22.85,28.14,31.52,37.75,47.62,47.52,45.96,53.46,60.78
95,274117,Jackson Heights,New York,NY,New York-Newark-Jersey City,Queens,96,21.09,23.47,22.41,21.97,20.12,16.78,37.34,44.56,46.45,48.32,46.73,45.85,44.12,44.45,45.16,47.75,48.96,51.4,50.22,47.92,42.09,31.44,31.93,30.96,38.63,34.36,51.38,45.55,43.34,40.43,39.94,35.57,30.83,17.19,17.25,14.88,11.9,9.79,8.01,6.5,4.29,3.16,4.26,3.91,4.81,3.91,4.17,5.19,4.37,5.29,3.93,3.65,3.91,5.8,7.87,8.25,7.56,8.07,8.46,7.68
101,270886,Midwood,New York,NY,New York-Newark-Jersey City,Kings,102,15.03,15.83,16.43,16.22,17.42,18.34,18.71,20.99,19.0,18.44,20.39,21.88,24.51,25.77,25.74,25.58,26.82,26.87,24.58,23.44,24.96,23.21,22.57,25.33,28.89,28.75,18.96,21.72,23.66,26.41,30.17,16.43,21.35,18.99,19.11,15.35,13.91,13.09,10.51,8.89,8.71,7.85,6.1,6.42,6.31,5.93,5.4,5.98,6.05,7.17,10.16,9.83,13.38,14.51,18.22,16.29,14.07,14.0,17.27,33.29
103,45032,East Elmhurst,New York,NY,New York-Newark-Jersey City,Queens,104,7.19,5.39,5.13,4.96,4.06,3.53,4.4,6.86,8.8,9.03,9.59,11.0,12.27,12.92,14.66,17.44,17.92,20.2,14.2,9.39,6.81,6.43,7.03,7.14,11.11,12.57,10.89,10.76,9.67,8.67,9.51,3.5,3.31,5.1,3.82,4.23,2.66,2.52,2.5,2.85,2.93,2.14,2.74,2.55,2.5,4.4,3.94,4.02,2.69,2.91,4.48,3.21,6.52,9.76,13.04,8.31,8.26,7.99,14.72,23.01
105,403215,Gravesend,New York,NY,New York-Newark-Jersey City,Kings,106,22.0,22.85,22.52,20.34,19.55,19.01,20.15,24.71,25.77,28.96,29.48,29.3,29.87,30.78,30.6,30.32,30.85,35.14,30.68,29.7,32.59,29.18,27.49,27.94,31.32,31.24,19.75,21.63,25.62,25.99,23.19,12.96,15.87,14.95,15.89,14.35,12.61,10.26,8.94,9.32,9.64,10.22,9.75,9.18,9.61,9.29,9.24,9.74,11.43,15.87,19.7,21.07,25.49,25.03,22.96,21.18,18.46,16.61,16.71,20.82
