,RegionID,RegionName,StateName,SizeRank,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
1003,193555,Bulls Head,New York,1004,3.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,2.0,2.0,4.0,3.0,1.0,0.0,2.0,3.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,6.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,0.0,3.0,3.0,3.0,2,0,2.0,7.0,3.0,1.0,2.0,2.0,,,,,
1021,10007,Arverne,New York,1022,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,2,1,1.0,0.0,2.0,1.0,1.0,,,,,,
1025,196213,Mariner's Harbor,New York,1026,4.0,2.0,5.0,3.0,5.0,5.0,3.0,3.0,6.0,4.0,3.0,5.0,4.0,1.0,4.0,9.0,4.0,4.0,10.0,5.0,2.0,2.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,7.0,4.0,4.0,4.0,9.0,10.0,8.0,5.0,9.0,12.0,8.0,8.0,10.0,5.0,9.0,5.0,10.0,3,5,6.0,6.0,4.0,6.0,9.0,6.0,9.0,10.0,9.0,3.0,
1036,403225,Floral park,New York,1037,4.0,5.0,3.0,1.0,0.0,2.0,3.0,1.0,6.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,3,0,2.0,1.0,3.0,1.0,,,,,,,
1052,403136,Emerson Hill,New York,1053,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,2,1,2.0,4.0,1.0,1.0,,,,,,,
1072,343203,Hunts Point,New York,1073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1075,403202,St. George,New York,1076,7.0,4.0,1.0,6.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,0.0,5.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,2.0,4.0,1.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,5.0,4.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,2,1,0.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,6.0,3.0,1.0
1157,196875,Oakwood,New York,1158,2.0,3.0,3.0,5.0,7.0,4.0,7.0,8.0,15.0,9.0,6.0,3.0,2.0,3.0,6.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,6.0,2.0,2.0,1.0,2.0,3.0,1,1,4.0,5.0,1.0,5.0,6.0,2.0,,,,,
1168,20239,Roosevelt Island,New York,1169,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1199,270888,Mill Basin,New York,1200,2.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,4.0,2.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,0.0,3.0,7,2,1.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,
