,RegionID,RegionName,StateName,SizeRank,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
221,343208,High Bridge,New York,222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
223,403213,Norwood,New York,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,270891,Morningside Heights,New York,227,14.0,5.0,13.0,7.0,3.0,5.0,4.0,7.0,9.0,9.0,12.0,9.0,11.0,7.0,7.0,8.0,4.0,9.0,5.0,5.0,7.0,9.0,9.0,12.0,12.0,4.0,9.0,10.0,9.0,9.0,4.0,5.0,13.0,11.0,15.0,16.0,6.0,5.0,10.0,5.0,5.0,6.0,7.0,6.0,12.0,7.0,12.0,9,12,9.0,5.0,10.0,9.0,11.0,6.0,8.0,7.0,7.0,5.0,11.0
233,273766,Fort Greene,New York,234,16.0,18.0,8.0,7.0,18.0,6.0,10.0,11.0,9.0,10.0,14.0,10.0,10.0,7.0,10.0,9.0,8.0,18.0,12.0,10.0,15.0,16.0,16.0,13.0,17.0,11.0,11.0,10.0,10.0,12.0,9.0,13.0,16.0,20.0,21.0,28.0,13.0,9.0,7.0,6.0,8.0,11.0,12.0,11.0,21.0,10.0,14.0,12,13,10.0,11.0,14.0,8.0,7.0,12.0,16.0,9.0,5.0,12.0,11.0
246,270819,Co-op City,New York,247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,343225,Wakefield,New York,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,194318,Dyker Heights,New York,253,8.0,11.0,4.0,4.0,3.0,4.0,12.0,8.0,5.0,5.0,9.0,5.0,8.0,10.0,8.0,7.0,6.0,10.0,7.0,5.0,9.0,9.0,7.0,3.0,11.0,8.0,11.0,5.0,5.0,7.0,4.0,3.0,8.0,11.0,13.0,6.0,5.0,5.0,10.0,6.0,3.0,6.0,7.0,3.0,14.0,9.0,10.0,6,8,11.0,10.0,10.0,9.0,9.0,3.0,5.0,5.0,,,
257,275552,St. Albans,New York,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,5,0,3.0,3.0,2.0,2.0,,,,,,,
258,25160,Hollis,New York,259,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,4.0,2.0,3.0,3.0,1.0,4.0,4.0,1.0,4,3,2.0,3.0,1.0,1.0,3.0,3.0,8.0,2.0,4.0,5.0,3.0
263,343210,Throggs Neck,New York,264,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,6.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1,1,2.0,1.0,4.0,2.0,0.0,1.0,,,,,
