,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
1193,195119,Greenridge,New York,NY,New York-Newark-Jersey City,Richmond,1194,55.93,61.93,68.77,74.69,76.79,80.0,81.6,83.29,83.7,82.26,81.73,80.0,78.66,78.5,77.02,71.41,67.97,69.29,74.46,75.01,68.57,63.17,65.69,67.01,66.21,67.91,74.79,72.99,72.79,76.39,76.03,87.14,88.49,89.13,92.49,94.69,92.13,91.81,91.93,92.89,95.77,96.8,95.88,97.48,98.84,99.28,99.36,99.24,99.08,99.48,98.68,97.64,96.4,94.28,90.97,89.17,83.17,73.95,79.26,65.96
1195,275164,Richmond Town,New York,NY,New York-Newark-Jersey City,Richmond,1196,65.56,68.66,71.69,76.38,78.29,78.87,76.66,72.69,71.54,69.19,65.69,64.39,61.08,62.49,58.87,51.33,47.66,50.23,60.63,63.77,60.37,56.69,58.67,62.84,64.94,64.6,71.54,71.76,73.7,77.02,77.27,82.38,85.77,84.14,88.18,91.17,89.91,90.63,91.46,92.76,95.93,96.22,94.41,94.99,96.76,97.77,98.09,98.02,98.49,98.23,98.02,96.29,91.64,87.6,86.16,84.97,82.56,78.56,78.95,60.07
1230,196350,Midland Beach,New York,NY,New York-Newark-Jersey City,Richmond,1231,38.34,39.43,32.97,30.24,28.19,27.92,22.99,20.8,20.57,19.71,20.39,21.57,20.21,20.58,24.27,33.57,41.93,52.7,69.43,81.54,85.59,88.6,89.5,91.56,89.05,85.37,90.52,87.52,86.45,85.55,82.78,91.23,90.2,87.96,90.74,91.9,89.89,90.74,91.63,95.7,98.17,97.58,92.66,93.38,94.23,94.09,93.83,94.94,95.17,93.87,93.33,91.59,89.31,86.0,88.01,87.75,83.27,80.41,86.23,67.04
1239,270873,Little Italy,New York,NY,New York-Newark-Jersey City,New York,1240,81.26,81.11,77.36,77.21,71.21,71.51,63.91,64.81,65.71,64.06,62.86,61.95,61.3,62.65,58.43,56.39,56.93,59.94,61.39,57.22,52.36,55.97,50.97,50.0,44.74,38.07,43.81,54.99,58.19,64.98,60.85,59.79,62.98,68.18,70.04,76.3,61.38,58.19,54.86,55.53,48.6,50.2,48.07,63.91,66.18,58.85,51.66,48.6,61.78,56.65,53.92,46.08,38.11,34.26,29.61,34.26,23.24,21.78,14.08,17.66
1256,56273,Rockaway Beach,New York,NY,New York-Newark-Jersey City,Queens,1257,67.53,59.72,61.81,56.17,51.3,48.17,59.48,65.57,56.7,64.17,62.26,59.3,55.63,54.25,51.65,54.59,56.5,55.63,45.23,27.73,44.1,35.94,38.43,42.09,37.04,40.42,31.36,29.79,38.5,45.64,57.49,52.79,75.96,55.23,56.62,62.37,58.71,59.93,75.61,81.71,82.23,64.81,63.41,68.12,67.77,85.19,89.2,90.24,90.43,88.7,87.3,85.22,85.91,81.57,80.17,72.7,79.83,81.74,77.22,59.3
1321,197995,South Beach,New York,NY,New York-Newark-Jersey City,Richmond,1322,60.99,63.87,57.29,51.66,51.66,51.37,46.16,42.21,38.9,32.56,32.28,33.47,32.49,32.91,33.54,35.94,39.8,46.23,58.25,67.06,70.68,71.87,76.46,77.11,73.0,71.42,81.07,78.29,77.6,80.65,76.91,92.09,93.27,89.24,92.44,95.21,90.89,91.45,92.14,93.6,94.44,95.27,94.09,95.06,97.43,97.84,98.05,98.05,98.61,98.26,97.22,97.29,95.34,94.65,94.79,92.77,87.99,88.06,94.17,74.38
1388,193043,Arrochar,New York,NY,New York-Newark-Jersey City,Richmond,1389,60.74,61.4,65.43,67.16,69.71,69.88,67.13,65.9,61.7,57.66,58.32,59.39,59.25,61.05,64.37,62.35,61.94,64.63,75.88,78.32,75.71,76.12,78.48,79.36,77.51,77.9,87.79,84.3,78.84,81.61,82.75,90.48,92.43,89.42,92.51,94.39,91.21,91.05,92.27,92.68,94.14,93.98,93.32,93.97,95.68,97.8,97.96,98.53,98.7,98.61,97.56,98.29,96.41,92.91,91.85,89.49,84.52,82.48,88.51,60.23
1437,195069,Grant City,New York,NY,New York-Newark-Jersey City,Richmond,1438,53.17,55.31,55.63,55.96,58.42,57.99,52.63,45.57,46.5,44.8,43.22,43.49,41.92,45.41,44.02,40.33,40.6,45.62,59.78,71.52,72.73,70.76,76.73,81.01,73.89,72.44,87.98,85.85,87.17,90.17,86.67,87.98,88.25,87.65,90.82,92.46,91.86,91.37,91.15,96.39,96.99,96.67,96.01,96.67,97.81,99.07,99.02,99.18,99.56,99.45,99.4,98.69,94.69,92.51,90.32,88.29,86.49,86.11,83.42,55.74
1442,403204,Castleton Corners,New York,NY,New York-Newark-Jersey City,Richmond,1443,66.62,71.76,73.73,74.31,76.67,76.03,75.18,72.78,72.29,73.91,75.43,77.0,74.64,76.21,77.64,76.59,73.95,73.75,82.38,82.43,77.57,73.49,71.43,70.89,69.81,70.52,72.3,65.78,58.43,59.56,53.92,71.49,82.09,83.95,89.6,91.85,92.98,93.67,94.5,96.76,98.68,99.02,98.72,98.97,99.36,99.61,99.51,99.61,99.41,99.36,98.53,97.25,92.73,86.99,85.32,85.52,76.44,73.1,65.54,39.67
1460,270816,Cobble Hill,New York,NY,New York-Newark-Jersey City,Kings,1461,69.77,69.77,69.53,70.0,70.12,70.35,75.03,77.13,73.98,76.78,77.25,76.17,76.46,77.97,81.0,82.64,83.76,85.75,91.8,94.53,94.87,90.75,88.58,89.47,87.44,82.71,87.22,78.36,70.52,66.14,70.07,78.11,73.18,72.62,70.82,72.17,69.85,67.68,67.64,68.55,65.2,65.99,69.26,70.5,70.53,66.25,67.49,70.42,77.5,74.66,68.21,69.9,62.05,59.01,55.63,52.08,53.6,55.84,53.03,45.62
1481,195167,Grymes Hill,New York,NY,New York-Newark-Jersey City,Richmond,1482,71.64,72.75,70.16,63.76,62.93,62.19,58.72,60.11,61.87,63.08,59.18,60.2,57.37,59.22,62.17,62.64,62.33,64.31,68.99,70.27,62.66,59.68,58.66,60.34,70.58,81.01,80.8,75.42,73.75,74.21,75.05,80.95,85.69,84.59,84.87,85.7,87.65,88.86,89.69,92.57,94.99,95.82,94.98,94.98,95.45,96.19,96.0,96.28,97.3,95.44,94.23,92.19,81.86,76.19,72.0,69.67,60.93,56.37,57.49,38.23
1490,343226,Country Club,New York,NY,New York-Newark-Jersey City,Bronx,1491,44.81,30.76,24.73,22.75,22.45,26.01,36.93,42.18,44.26,50.4,48.12,48.61,53.07,59.9,64.85,67.89,72.23,78.06,83.22,87.17,89.04,87.76,85.39,83.12,81.64,74.43,71.71,68.74,71.32,72.8,70.92,82.48,87.92,90.3,90.0,91.39,88.5,89.99,88.17,84.76,83.65,84.96,74.58,67.9,69.89,74.25,69.26,73.95,79.14,72.95,71.66,74.8,74.5,74.83,82.93,78.44,76.35,72.63,63.07,35.73
1540,272771,Annadale,New York,NY,New York-Newark-Jersey City,Richmond,1541,49.15,57.42,64.98,69.38,71.75,72.8,74.31,75.1,73.72,71.88,72.01,71.68,68.75,69.08,69.54,69.08,67.43,69.34,72.99,71.23,67.91,64.82,60.44,61.14,60.22,59.92,64.79,59.29,58.12,67.06,70.55,83.87,87.37,87.05,91.32,94.04,93.26,91.7,93.32,95.4,96.89,97.02,94.49,92.93,95.26,95.91,95.59,94.48,95.01,94.23,93.19,92.8,87.55,84.24,80.29,78.99,71.73,69.02,69.35,45.43
1555,403199,Grasmere - Concord,New York,NY,New York-Newark-Jersey City,Richmond,1556,54.46,56.58,65.45,71.69,74.48,72.79,71.3,71.88,70.72,66.75,68.5,66.54,63.41,62.72,61.77,56.49,51.64,51.64,58.45,59.71,55.44,57.55,60.51,66.03,69.6,74.0,82.87,81.19,77.93,81.08,80.61,89.23,89.86,87.34,87.7,88.6,83.87,83.18,84.39,89.7,95.64,97.69,95.9,96.16,97.42,98.26,97.84,97.9,98.69,94.85,93.17,93.74,91.11,87.43,86.01,84.6,78.08,74.97,77.08,50.21
1567,270904,Old Town,New York,NY,New York-Newark-Jersey City,Richmond,1568,54.73,61.13,63.51,66.58,70.5,71.61,66.24,60.78,55.58,48.85,48.25,48.34,47.23,49.1,47.57,42.28,41.38,43.34,55.2,60.24,58.19,59.64,65.27,73.29,76.79,78.92,85.96,85.87,86.72,90.47,90.81,88.94,90.72,90.81,93.19,94.89,95.91,96.94,96.85,97.87,98.89,98.55,97.62,96.6,97.53,98.89,99.06,99.23,99.83,99.4,99.06,98.47,91.91,86.71,86.71,82.54,76.49,77.09,74.96,45.06
1620,16920,Bay Terrace,New York,NY,New York-Newark-Jersey City,Richmond,1621,56.69,66.48,71.9,74.37,77.54,78.24,77.31,79.7,79.28,76.6,71.88,69.06,65.54,64.34,61.17,56.66,53.21,58.57,69.21,70.2,63.59,62.03,64.71,66.06,66.27,65.77,66.55,62.54,62.05,63.11,61.49,91.08,93.46,91.5,92.76,92.69,85.95,83.98,81.73,84.95,93.11,96.2,93.95,94.23,96.62,99.23,99.23,99.3,99.65,99.58,99.44,98.59,98.24,96.91,95.71,93.95,94.94,91.84,88.54,60.13
1641,403125,Meiers Corners,New York,NY,New York-Newark-Jersey City,Richmond,1642,61.44,64.2,64.46,63.02,62.69,64.24,67.78,68.31,66.14,64.3,67.52,70.6,68.28,67.89,69.46,69.31,67.93,71.08,76.92,80.04,77.98,76.99,74.36,76.2,74.9,75.89,86.21,80.11,71.83,68.55,63.36,83.45,87.98,84.7,88.31,91.27,91.79,93.63,94.16,96.45,98.23,98.49,98.23,98.29,98.95,99.34,99.28,99.15,99.28,99.21,99.28,99.15,97.5,94.42,93.5,93.3,87.79,79.45,73.41,32.96
