"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Richmond Hill","New York","NY","New York-Newark-Jersey City","Queens",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1697.5,1650,1685,1650,1600,1780,1697,1700,1799.5,1900,1800,1700,1650,1650,1675,1800,1800,1837.5,2000,2000,2099,2000
"Flatlands","New York","NY","New York-Newark-Jersey City","Kings",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825,1975,1874.5,1874.5,1975,1912.5,1895,1950,2000,2229.5,2000,1850,1850
"Little Havana","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1650,1650,1595,1580,1590,1500,1580,1550,1550,1549,1525,1580,1500,1350
"Gramercy","New York","NY","New York-Newark-Jersey City","New York",64,,,,,,,,,,3300,3300,2800,2800,2850,2900,2925,2900,2995,3000,3000,2995,3000,3000,2995,2995,3150,3150,3200,3200,3200,3200,3195,3100,3100,3100,3100,3125,3200,3199,3200,3200,3200,3200,3200,3200,3195,3200,3250,3250,3300,3300,3400,3350,3350,3300,3350,3393,3300,3350,3307,3300,3297.5,3250,3300,3295,3300,3295,3295,3250,3247.5,3290,3285,3290,3300,3300,3295,3300,3300,3300,3299.5,3295,3250,3300,3297.5,3350,3350,3296.5,3300,3350,3311.5,3250,3095,3150,3200,3295,3250,3295,3350,3350,3300,3300,3300
"South Austin","Chicago","IL","Chicago-Naperville-Elgin","Cook",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1100,1050,1075,1185,1100,1200,1200,1200,1175,1000,1150,1127.5,1122.5,1100,1100,1100,1100,1150,1200,1195
"The Heights","Jersey City","NJ","New York-Newark-Jersey City","Hudson",66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625,1775,1900,1697.5,1900,1800,1850,1850,1800,1795,1900,1900,1895,1795,1750,1850,1900,1850,1682,1850,1850,1800,1750,1800,1825
"Tremont","New York","NY","New York-Newark-Jersey City","Bronx",67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487.5,1400,1450,1600,1550,1625,1650,1700,1662.5,1650,1685,1625,1625,1600,1600,1566.5,1550,1675,1800,1775,1800,1850,1899
"Roxbury","Boston","MA","Boston-Cambridge-Newton","Suffolk",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1750,1725,1800,1800,1800,1952.5,2085,2100,1900,1800,1800,1800,1900,1945,1970,2000,2100,2200,2150,2100,2200,2200,2200,2100,2025,2200,2300,2300,2200,2300,2300,2300,2200,2100,2100,2300,2300,2500,2455,2300,2450,2500,2400,2400,2250,2100,2100,2200,2500,2500,2600,2500,2500,2500,2475,2450,2400,2395,2400,2400,2600,2600,2575,2512.5,2685,2650,2695,2650,2600
"Central City","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,735,700,800,775,680,725,815,800,695,680,725,762.5,795,795,837.5,850,810,850,825,825,812
"Kensington","New York","NY","New York-Newark-Jersey City","Kings",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1985,1850,1900,2000,2100,2125,2000,2100,2125,2295,2295,2250,2150,2200,2145,2100,2200,2100,2150,2300,2075,2272.5,2179.5,2400,2088,2100,2050,1999.5,1995,2000,2100,2100,2100,2100,2112.5,2000,2000,2016,2074.5,1999,1995,2099,2076,2222,2222,2250
