"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Financial District","New York","NY","New York-Newark-Jersey City","New York",144,,,,,,,,,,,,2995,3000,3025,3090,3195,3100,3195,3150,3150,3095,3087,3150,3175,3200,3250,3300,3300,3310,3300,3300,3297.5,3250,3245,3250,3200,3195,3225,3250,3265,3295,3300,3373.5,3315,3340,3295,3295,3300,3300,3277,3300,3395,3350,3400,3395,3395,3380,3250,3367,3595,3700,3500,3495,3500,3460,3495,3475,3422.5,3395,3370,3375,3407,3480,3460,3530,3489.5,3457.5,3479,3492,3371.5,3350,3355,3429,3450,3500,3595,3595,3728,3695,3595,3570,3525,3500,3480,3576,3500,3500,3600,3650,3702,3738,3675
"Ravenswood","Chicago","IL","Chicago-Naperville-Elgin","Cook",145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1312.5,1310,1220,1150,1200,1200,1295,1270,1450,1395,1337.5,1400,1400,1272.5,1205,1250,1375,1250,1250,1250,1403.5,1450,1395,1397,1295,1350,1200,1300,1295,1290,1450,1450,1495,1375,1399.5,1357.5,1357.5,1295,1325,1350,1325,1325,1295,1250,1300,1247.5,1245,1195,1295,1295,1350,1350,1350,1375,1395,1400,1450,1450,1378.5,1422.5,1460,1450,1400,1400,1430,1450,1395,1375,1350
"Auburndale","New York","NY","New York-Newark-Jersey City","Queens",146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,1937.5,1900,1975,2000,1900,2000,2025,1950,2100,2100,2200,2200,2200,2250,2100,2100,2100,2200,2100,2175,2200,2150,2300,2300,2150
"North Dorchester","Boston","MA","Boston-Cambridge-Newton","Suffolk",147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,2000,2000,2012.5,2000,2200,2000,2000,2100,1937.5,1995,1995,2000,2162.5,2187.5,2250,2300,2232.5,2100,2050,2000,2010,2100,2300,2250,2312.5,2400,2400,2300,2200,2200,2200,2100,2100,2400,2500,2500,2500,2500,2500,2600,2497.5,2300,2300,2200,2200,2550,2550,2550,2600,2695,2699,2697,2600,2525,2600,2650,2500,2650,2700,2700,2700,2700,2700,2700,2600,2587
"Fort Hamilton","New York","NY","New York-Newark-Jersey City","Kings",148,,,,,,,,,,,,,,,,,,,,,,,1425,1495,1575,1525,1500,1497.5,1700,1700,1725,1700,1600,1480,1500,1550,1662.5,1631.5,1562.5,1500,1562.5,1650,1600,1600,1600,1700,1650,1600,1600,1600,1675,1650,1650,1695,1650,1650,1650,1700,1700,1695,1700,1612.5,1700,1800,1800,1800,1837.5,1800,1850,1912.5,2000,2000,1950,1982.5,1900,1800,1962.5,1987.5,1900,1825,1850,1897.5,1985,1975,2099,1999.5,1950,1895,1800,1800,1800,1800,1800,1900,1875,1845,1875,1850,1750,1762.5,1800,1900
"Journal Square","Jersey City","NJ","New York-Newark-Jersey City","Hudson",149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195,2195,2195,2207.5,1887.5,1900,1912.5,1862.5,1950,1700,1700,1700,1750,1875,1825,1750,1900,1800
"College Point","New York","NY","New York-Newark-Jersey City","Queens",150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2200,2100,2000,2050,2100,2200,2200,2200,2200,2225,2250,2250,2200,2050,2150,2200,2200,2200,2200,2200,2200,2275
"Flatiron District","New York","NY","New York-Newark-Jersey City","New York",151,,,,,,,,,,,,2997.5,3000,3100,3295,3250,3300,3395,3388.5,3424,3400,3399.5,3450,3400,3400,3650,3550,3695,3650,3600,3597.5,3500,3495,3450,3400,3495,3490,3466,3500,3595,3600,3630,3647,3600,3595,3595,3585,3550,3600,3700,3765,3850,3995,3995,3864,3850,4095,4150,4195,4250,4295,4095,4100,4188.5,4200,4200,4095,3950,4095,4095,4097,4000,3895,4012.5,3945,3950,3950,3895,3995,3974.5,3895,3995,3875,4000,4096,4149,4165,4250,4295,4250,4200,4150,4188.5,4120.5,4195,4195,4233,4307,4300,4300,4197.5,4298.5
"University District","Seattle","WA","Seattle-Tacoma-Bellevue","King",152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1350,1350,1335,1325,1390,1450,1412.5,1395,1362.5,1195,1295,1275,1275,1285,1247.5,1250,1195,1095,1000
"Capitol","Madison","WI","Madison","Dane",153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1355,1495,1385,1250,1237.5,1250,1300,1295,1355,1247.5,1290,1359,1300
"South Chicago","Chicago","IL","Chicago-Naperville-Elgin","Cook",154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,872.5,925,950,950,920,850,850,760,875,830,795,800,900,912.5,875,850,900,950,1000,1000,1000,1000,1000,980,1000,1000,1012.5,1062.5,1100,1025,1070,1100,1000,1000,977.5,950,1050,1000,1100,1000,1100,1100,1080,975,1050,1100,1050,1000,980,1047,1044,1044,1044,1000,1040,1044,1044,1100,1050,1050,1094,1088,1081.5,1088,1050
"Clinton Hill","New York","NY","New York-Newark-Jersey City","Kings",155,,,,,,,,,,,,,,,,,,,,,,,,2600,2395,2300,2440,2407.5,2695,2695,2597.5,2258.5,2300,2500,2450,2750,2695,2825,2800,2750,2775,2600,2500,2600,2600,2650,2600,2600,2600,2800,2800,2700,2800,2700,2650,2650,2650,2700,2757.5,2795,2850,2850,2700,2700,2799,2850,2850,2750,2700,2750,2850,2800,2700,2747.5,2750,2795,2800,2750,2629,2800,2625,2700,2828,2750,2697,2800,2850,2900,2750,2700,2795,2712.5,2735,2735,2700,2700,2806,2862,2841,2850,2800,2800
"Pelham Bay","New York","NY","New York-Newark-Jersey City","Bronx",156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1475,1600,1800,1800,1800,1800,1749.5,1750,1750,1700,1800,1749,1800,1800,1800,1800,1900,1900,1800,1850,1800
"Brickell","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade",157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,2500,2675,2550,2525,2550,2525,2600,2600,2500,2400,2450,2450,2500,2500,2500,2550,2650,2500,2550,2550,2600,2600,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2550,2587.5,2500,2500,2522.5,2500,2500,2500,2500,2500,2500,2550,2450,2500,2500,2500,2500,2600,2550,2600,2624.5,2649,2650,2650,2600,2600,2650,2650,2650,2670,2600,2600,2650,2650,2600,2600
"Allston","Boston","MA","Boston-Cambridge-Newton","Suffolk",158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175,1850,1825,1850,1800,1895,1875,1995,2037.5,2200,2200,2375,2300,2200,2200,2050,1995,1960,1950,1900,1850,1850,2000,2300,2150,2000,1995,1950,1900,1950,1995,2095,2100,2150,2372.5,2395,2400,2400,2350,2300,2400,2100,2200,2400,2350,2050,2295,2400,2400,2510,2550,2600,2550,2525,2550,2550,2450,2400,2500,2800,2800,2550,2450,2450,2500,2500,2500,2500
"Fresh Meadows","New York","NY","New York-Newark-Jersey City","Queens",159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2100,2150,2100,2200,2200,2200,2300,2200,2200,2250,2000,2225,2000,2000,2000,2000,2000,2150,2100
"Kew Gardens","New York","NY","New York-Newark-Jersey City","Queens",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1550,1550,1550,1550,1550,1550,1550,1600,1650,1650,1650,1612.5,1650,1650,1650,1650,1675,1675,1650,1650,1700,1700,1750,1670,1695,1700,1725,1700,1750,1800,1800,1837.5,1900,1850,1850,1850,1800,1900,1875,1950,1850,1832.5,1850,1949,2100,1850,1950,2000,2000,1985,1960,1937.5,1950,1850,1850,1870,1950,1900,2000,2000,2000,2000,2000,2095,1950,1925,2124.5,2100,2000,1995
"Flamingo Lummus","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade",161,,,,,,,,,,,,,,,,,,,,,,1725,1649,1659.5,1685,1750,1812.5,1850,2000,1700,1500,1497.5,1450,1450,1487.5,1600,1500,1650,1550,1750,1850,1750,1775,1800,1825,1890,1825,1900,2000,2250,1950,1950,1900,1900,1800,1800,1800,1800,1800,1800,1800,1800,1850,1850,1800,1800,1800,1800,1900,1900,1900,1985.5,1800,1800,1900,1750,1750,1700,1850,1800,1700,1800,1800,1800,1750,1750,1650,1750,1800,1800,1750,1800,1750,1850,1925,1950,2075,2000,2000,1850,1820,1800
"Back Bay","Boston","MA","Boston-Cambridge-Newton","Suffolk",162,,,,,,,,,,,2095,2075,1925,1975,2200,2425,2600,2800,2725,2657.5,2600,2500,2500,2300,2175,2250,2350,2350,2400,2800,2850,2857.5,3000,2800,2670,2400,2397.5,2600,2750,2800,2975,3037.5,2997.5,2900,2911,2800,2800,2750,2700,2600,2600,2800,2750,2800,2830,2750,2800,2830,2950,2600,2650,2500,2500,2525,2500,2525,2525,2600,2525,2552.5,2600,2600,2507.5,2500,2500,2485,2500,2500,2850,2850,2850,2600,2750,2600,2600,2650,2700,2600,2597.5,2650,2700,2750,2775,2675,2700,2700,2680,2550,2700,2695,2695,2700
"Pico-Robertson","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2999,2775,2570,2522.5,2575,2750,2650,2495,2597.5,2695,2622.5,2650,2675,2797.5,2800,2897.5,2800,2700,2595,2847.5
"West Village","New York","NY","New York-Newark-Jersey City","New York",164,,,,,,,,,,3050,3300,3047.5,3000,3195,3190,3200,3200,3200,3300,3505,3495,3300,3450,3630,3500,3597.5,3500,3495,3300,3550,3595,3500,3400,3495,3400,3300,3295,3400,3465,3495,3499.5,3500,3500,3600,3695,3695,3675,3600,3600,3670,3650,3500,3500,3500,3500,3560,3595,3600,3600,3600,3750,3650,3700,3712.5,3695,3695,3795,3697.5,3695,3672.5,3695,3695,3600,3800,3650,3795,3875,3695,3670,3597.5,3500,3650,3600,3650,3595,3750,3797,3895,3795,3775,3695,3595,3595,3595,3668,3695,3712,3840,3750,3850,3925,3995
"Brooklyn Heights","New York","NY","New York-Newark-Jersey City","New York",165,,,,,,,,,,,,,,,,,,,2901,2773.5,2728.5,2700,2700,2700,2300,2347.5,2550,2425,2500,2921.5,2997,2822,2850,2850,2951,2900,2800,2820,2975.5,2985,2950.5,3150,3150,3345,3130,2750,2700,2650,2650,2800,2800,2850,2950,3060,3025,2700,2850,3000,3085,2895,2900,3000,2975,2900,2997.5,3000,3000,3050,3150,3166,3100,3010,3000,2800,2950,3050,3000,3099,2964,2645,2962.5,3300,3200,3025,3195,3000,3100,3097.5,3010,3050,3285,3000,3200,3200,3200,3010,2962.5,2979,2989.5,3095,3200,3297.5
"Fenway","Boston","MA","Boston-Cambridge-Newton","Suffolk",166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2700,2650,2600,2500,2495,2450,2500,2550,2550,2550,2600,2650,2650,2600,2600,2600,2600,2642,2600,2600
"Rittenhouse","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia",167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1922.5,1695,1825,1750,1929.5,1972.5,1867.5,1787.5,1795,1862.5,1899.5,1899,1795,1795,1850,1850,1850,1750,1790,1650,1825,1975,1995,1850,1887.5,1850,1875,1800,1897.5,1925,1988,1995,2074,1995,1920,1900,1850,1850,1767.5,1800,1740,1600,1850,1950,1725,1900,1872.5,1800,1850,1700,1725,1697.5,1795,1795,1875,1955,1910,1910,1850,1925,1707.5,1700,1695,1592.5,1532.5,1585,1695
"Uptown","Chicago","IL","Chicago-Naperville-Elgin","Cook",168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1175,1177.5,1175,1215,1175,1147.5,1150,1175,1200,1249,1215,1215,1180,1225,1225,1222.5,1225,1224.5,1210,1200,1250,1215,1262.5,1395,1237.5,1250,1250,1250,1275,1295,1350,1350,1350,1350,1300,1300,1267.5,1305,1337.5,1350,1325,1300,1295,1195,1195,1195,1150,1230,1300,1425,1475,1397.5,1435,1450,1380,1325,1395,1295,1225,1295,1312.5,1341,1450,1450,1399,1450,1450,1400,1255,1275
"Near North","Chicago","IL","Chicago-Naperville-Elgin","Cook",169,,,,,,,,,,,,,,,,,,1800,1840,1865,1845,1778.5,1775,1775,1937.5,1895,1912.5,1920,1947,1925,1860,1881,1850,1900,1872,1860,1905.5,1867.5,1920,2012,2010,1937,1907.5,1900,1943,1956,2050,2045,2099.5,2176,2234,2252,2243,2215,2217.5,2217,2229,2030,2222,2123,2250,2251,2312,2292.5,2255,2495,2550,2585,2382.5,2300,2298,2021,2040,2050,2200,2181.5,2221.5,2150,2255,2099.5,2068,2170,2160,2235.5,2400,2307.5,2193,2189,2199,2184,2077,2077,2070,2124,2176.5,2220,2250,2299,2299,2243,2250,2305
"Bergen-Lafayette","Jersey City","NJ","New York-Newark-Jersey City","Hudson",170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1600,1750,1800,1800,1800,1795,1695,1672.5,1695,1600,1650,1572.5,1595
"East Garfield Park","Chicago","IL","Chicago-Naperville-Elgin","Cook",171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1250,1350,1300,1250,1207,1200,1203.5,1200,1200,1200,1175,1100,1100,1172.5,1150,1195,1200,1150,1195
"Sutton Place","New York","NY","New York-Newark-Jersey City","New York",172,,,,,,,,,,,2700,3000,2750,3065,3425,3600,3100,3100,3057.5,3400,3200,3300,3200,3200,2900,3095,3000,3000,2947.5,3200,3300,3397.5,3300,3300,3300,3395,3400,3400,3397,3400,3300,3300,3395,3300,3400,3395,3450,3500,3500,3500,3500,3400,3350,3300,3350,3300,3350,3300,3300,3450,3500,3300,3450,3295,3295,3350,3200,3185,3197.5,3175,3150,3350,3350,3400,3204,3300,3175,3400,3450,3500,3450,3393,3310.5,3456,3197.5,3350,3500,3350,3195,3350,3250,3195,3200,3175,3200,3187.5,3450,3472.5,3450,3350,3300,3350
"Castle Hill","New York","NY","New York-Newark-Jersey City","Bronx",173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1775,1650,1775,1825,1661.5,1650,1600,1600,1650,1650,1600,1650,1800,1900,1700,1700,1800,1800,1700,1700,1800
"North Center","Chicago","IL","Chicago-Naperville-Elgin","Cook",174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1700,1795,1825,1862.5,1862.5,1795,1800,1725,1595,1795,1795,1645,1795,1750,1842.5,1600,1795,1800,1525,1600,1600,1650,1575,1450,1700,1890,1850,1695,1500,1500,1645,1600,1500,1600,1695,1695,1650,1620,1672.5,1537.5,1600
"Streeterville","Chicago","IL","Chicago-Naperville-Elgin","Cook",175,,,,,,,,,,1400,1465,1495,1508,1528.5,1495,1620,1585,1630,1664,1774.5,1750,1725,1795,1700,1912.5,2057.5,1990,1915,1750,1880,1845.5,1775,1805,1805,1857.5,1845,1921.5,1948,1976.5,1977,1922.5,1890,1902,1795,1872,1950,1938.5,2050,2038,2100,2110,2213,2220,2145,2248,2278,2200,2143,2466,2386.5,2232,2271,2216,2207.5,2084,2305,2462.5,2350,2322.5,2400,2270,2165.5,2075,2320,2249.5,2135.5,2190,2076,2108.5,2085,2077,2184,2074,2191,2190,2170.5,2135,2234,2314.5,2199,2200,2125,2125,2120,2140,2299.5,2404,2399,2400,2399,2294,2235
"Pacific Heights","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco",176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3500,3797.5,3995,3995,3925,3995,4000,3750,3795,3945,3795,3995,4200,3797.5,4395,4150,3995,3997.5,4145,4495
"Wingate","New York","NY","New York-Newark-Jersey City","Kings",177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2399.5,2400,2100,2225,2300,2250,1975,1962.5,1984,1967,1984,2015,1925,2000,1900,2050,2100,2275,2150,2000,2266,2125,2000,2050,1950,2000,2050,2397.5,2287.5,1999,1877,1972.5,2249,2250,2199.5,2350,2349.5,2285,2374.5,2499,2499.5
"Tribeca","New York","NY","New York-Newark-Jersey City","New York",178,,,,,,,,,,,,,,,,,,5000,4745,4745,4995,4500,4450,4500,4500,4495,4800,4850,4650,4800,4695,4450,4895,4995,4995,5000,5100,4995,5185,5201,5095,4995,4695,4595,4500,4595,4695,4695,4695,4795,5095,5095,5600,5295,5295,5000,5000,4995,5295,5197.5,5195,5530,5700,5650,5700,5500,5272.5,5250,5095,5000,5095,5195,5095,5322.5,4995,5297.5,4995,4995,5000,5250,4895,5250,6000,6345,5800,5825,5995,6200,5449,5295,5030,4995,5295,5250,5141.5,5415,5385,5450,5495,5429.5,5800,5777.5
"McGinley Square","Jersey City","NJ","New York-Newark-Jersey City","Hudson",179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1500,1597,1600,1500,1595,1500,1500,1500,1475,1425,1450,1575,1575,1372.5,1600,1595,1400,1495,1350
"Downtown","Stamford","CT","Bridgeport-Stamford-Norwalk","Fairfield",180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1600,1625,1650,1700,1650,1650,1675,1600,1650,1550,1650,1700,1600,1600,1600,1700,1562.5,1600
"Waikiki","Honolulu","HI","Urban Honolulu","Honolulu",181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,1700,1800,1774.5,1672.5,1622.5,1500,1550,1749.5,1650,1590,1625,1600,1697.5
"Bucktown","Chicago","IL","Chicago-Naperville-Elgin","Cook",182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1995,1950,2050,2095,2100,2195,2100,2195,2100,2147.5,2200,2095,1950,2047.5,1995,2000,1980,1997.5,1985
"Gowanus","New York","NY","New York-Newark-Jersey City","Kings",183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2600,2850,2900,2850,2900,2900,3000,2995,2900,2900,2750,2800,2950,2695,2800,2900,3200,3000,2900,2850,2796.5,2700,2850,2800,2748,2800,2800,2800,2800,3000,3100,3200,3000,3000,3000,2995,3000,2995,2979,2990,2980,3000,3076,3200,3000,3206.5,3100,3000,2995,3067.5,2900,2800,2900,2900,2900,2850,3000,2900,2850,2850,2800,2799,2701,2850,3230,3200,3187.5,3300,3100
"Chatham","Chicago","IL","Chicago-Naperville-Elgin","Cook",184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1044,1044.5,1050,1050,1089,1088,1050,1050,1000,930,1000,1066
"Turtle Bay","New York","NY","New York-Newark-Jersey City","New York",185,,,,,,,,,,,,,,,,2900,2900,2925,3000,3200,3000,3000,2997.5,2950,2895,2900,3000,2995,3000,3000,3000,3000,2995,2950,2950,2900,2950,2950,3000,3000,3095,3100,3150,3000,3000,3000,3100,3100,3200,3200,3250,3200,3250,3195,3100,3200,3200,3295,3400,3500,3650,3395,3400,3350,3400,3350,3290,3300,3346.5,3400,3350,3297.5,3285,3250,3250,3295,3295,3350,3300,3400,3070,3200,3200,3195,3300,3350,3295,3300,3212.5,3195,3250,3200,3000,3000,3082.5,3250,3195,3350,3400,3400,3400,3550
"West Side- West End","Bridgeport","CT","Bridgeport-Stamford-Norwalk","Fairfield",186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1200,1175,1125,1150,1187.5,1150,1150,1185,1150,1195,1200,1150
"Wynwood - Edgewater","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade",187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2000,2200,2550,2400,2600,2600,2400,2400,2450,2400,2300,2300,2300,2350,2400,2150,2200,2150,2225,2175,2150,2175,2275,2225,2100,2150,2400,2450,2475,2350,2397.5,2500,2675,2700,2600,2650,2675,2395,2350,2400,2450,2450,2400,2400,2397.5,2350,2325,2450,2400,2475,2475,2400,2400,2474.5,2500,2525,2500,2500,2600,2600,2600,2618,2500,2700,2500,2500,2500
"Manhattanville","New York","NY","New York-Newark-Jersey City","New York",188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2325,2550,2500,2495,2500,2575,2850,2647.5,2375,2500,2495,2550,2595,2600,2562.5,2695,2647.5,2550,2650,2800,2575
"Prospect Heights","New York","NY","New York-Newark-Jersey City","Kings",189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2700,2400,2500,2500,2650,2600,2600,2550,2500,2500,2500,2500,2500,2500,2772.5,2750,2850,2800,2950,2750,2695,2695,2850,2700,2650,2700,2899.5,2800,2800,2850,2772.5,2750,2700,2700,2599,2600,2800,2800,2800,2950,2800,2800,2750,2800,2890,2765,2750,2850,2800,2800,2942.5,2995,2950,2881,2887,2795,2825,2850,2800,2995,2972,2800,2899.5,3149,3200,3000,2850
"Charlestown","Boston","MA","Boston-Cambridge-Newton","Suffolk",190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2300,2300,2408,2465,2430,2500,2416,2500,2612.5,2500,2500,2525,2600,2600,2700,2500,2600,2500,2500,2600,2525,2698,2600,2545,2500,2475,2505,2500,2505,2535,2790,2560,2600,2690,2500,2545,2600,2595,2595,2602.5,2550,2512.5,2500,2467.5,2517.5,2500,2662.5,2567.5,2400,2500,2587.5,2800,3282.5,3200,3000,2950,3000,3200,2997.5,2700,2580,2600,2600,2650,2850,2890,2927,3100.5,3200,3000,3100,3100
"Wilshire-Montana","Santa Monica","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3195,3197.5,3200,3495,3195,3095,3000,2996.5,3125,3022.5,2972.5,3095,2995,2995,2895,2895,2895,2650,2895,2895
"Heart of Chicago","Chicago","IL","Chicago-Naperville-Elgin","Cook",192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1295,1500,1400,1500,1500,1350,1300,1325,1295,1300,1445,1500,1400,1475,1537.5,1600,1550,1395
"Dutchtown","Saint Louis","MO","St. Louis","Saint Louis City",193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,525,570,550,540,525,550,550,562.5,625,625,575,650,650,650,600,625,625,550,625
"Greenwood","New York","NY","New York-Newark-Jersey City","Kings",194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972.5,1950,1950,2150,2000,1950,2100,2000,1995,2000,2000,2100,2200,2200,2100,2000,1995,1995,1999,2000,2200,2250,2300,2300,2200,2200,2250,2250,2395,2412.5,2400,2200,2150,2400,2300,2350,2300,2337.5,2395,2400,2300,2395,2395,2375,2300,2290,2300,2300,2275,2200,2275,2150,2300,2200,2200,2300,2300,2300,2300,2293,2235,2425,2350,2245,2250,2250,2325,2300,2471,2500,2500,2725,2500
"Midtown","New York","NY","New York-Newark-Jersey City","New York",195,,,,,,,,,,,,,2572.5,2650,2850,2850,3172.5,2950,3000,3200,3206,3140,3180,3100,3200,3195,3222.5,3325,3300,3400,3395,3395,3325,3300,3275,3300,3350,3350,3371,3400,3400,3400,3400,3350,3365,3350,3395,3400,3400,3495,3500,3795,3728,3649,3761.5,3815,3850,3785,3769,3730.5,3695,3742.5,3595,3795,3792.5,3695,3600,3712.5,3595,3510,3730.5,3600,3695,3550,3595,3495,3500,3500,3500,3450,3462.5,3525,3700,3697.5,3797.5,3878.5,3825,3875,3692,3850,3686,3595,3595,3600,3628,3623,3600,3595,3750,3795,3782.5,3735
"North Quincy","Quincy","MA","Boston-Cambridge-Newton","Norfolk",196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625,1649,1750,1725,1725,1735,1800,1826,1800,1700,1687.5,1800,1800,1997.5,1850,1832,1826,1773,1800,1800,1900
"Audubon","New Orleans","LA","New Orleans-Metairie","Orleans",197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1696,1650,1600,1637.5,1600,1650,1675,1600,1700,1595,1595,1595,1597.5,1600,1650,1650,1650,1500,1600
