"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Michael Way","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155000,147500,148750,148500,149900,148000,149249.5,145000,145000,144999.5,152750,155000,159900,150000,153000,153000,159950,164990,169900,169950,171250,170000,169000,169998,170000,170000,171450,179500,185000,185000,189950,189894,189950,189900,192445,189900,190695,2e+05,203900,2e+05,207450,219945,210000,210000,217944,229900,232500,224900,220000,227500,227499.5,232350,242880,249950,255000,259999,264999,262500
"Greater Uptown","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",55,897000,867000,885000,875000,827250,814950,885000,932000,895900,895000,873000,899500,899000,899000,899000,899000,899900,934950,925000,945000,935000,932450,920000,999450,995000,1050000,1022500,899950,899900,947000,1095000,975000,1079000,1095000,1087000,1121000,1184450,1212500,1236500,1225000,1225000,1250000,1250000,1250000,1250000,1250000,1244500,1270000,1244000,1295000,1329000,1380000,1386000,1300000,1349500,1350000,1300000,1299000,1285000,1355000,1285000,1350000,1390000,1394500,1295000,1290000,1373000,1300000,1300000,1250000,1324000,1337000,1347000,1250000,1359500,1389000,1349000,1359000,1359500,1389000,1399000,1399000,1395000,1399000,1429000,1414000,1450000,1500000,1499900,1450000,1485000,1490000,1500000,1459000,1450000,1412450,1337475,1300000,1324950,1391750,1354950,1359950,1297500,1350000,1372500
"Granada Hills","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",56,449000,459000,480000,479950,484475,479500,459900,459450,474925,474974.5,469499.5,439000,439900,444475,449500,439000,437000,465000,439900,430000,436200,425000,429450,412000,411988.5,399000,4e+05,428750,429450,433999.5,440450,419999,460950,459900,475000,469700,425000,450000,469000,484900,490000,499000,5e+05,482000,479000,489500,519500,544950,529000,544450,499900,544500,547200,569000,549000,592499.5,589999,592500,590000,589999.5,549000,557000,540844,575000,589000,635000,645000,637250,645000,649000,630000,649950,650000,623227,639950,639925,649950,627000,636000,633000,6e+05,599974.5,615000,612500,649000,640000,652500,660000,680000,699000,677499.5,674900,659000,659500,670000,679000,672500,665000,669000,685000,699000,699900,685000,691750,689000
"Southwest","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant",57,222500,212950,212400,209000,204950,214900,214900,214900,216300,220000,224900,209900,215900,204945,209000,204770,201850,208900,2e+05,195000,195000,189900,189900,189900,189900,189900,194900,199900,199999.5,199000,194950,189900,195495,199990,199900,199900,208995,208990,205000,216550,213775,216550,219900,215550,218500,218775,219900,222285,222285,222900,225000,225990,230990,239450,240000,242450,235000,232900,231990,232900,242500,245945,259000,266831.5,270000,264000,252445,249945,250000,265000,256445,250995,249990,257950,255500,265000,279900,275000,258850,264600,259250,284900,289900,289900,281950,275000,276500,295000,299010,3e+05,307900,3e+05,3e+05,307400,299500,329661,339500,344250,349900,342000,348250,329000,318500,335000,331990
"Rancho Penasquitos","San Diego","CA","San Diego-Carlsbad","San Diego",58,594900,582450,599450,599900,589000,579500,589900,589450,589000,584950,577000,570550,574950,567000,554400,560000,565648.5,549000,583000,579900,575000,552190.5,550000,552190.5,550000,558500,548000,565000,562450,576000,575000,579900,570000,585000,555000,550000,549900,572450,607499.5,629000,629000,649000,649450,649000,659000,649000,649000,664900,677000,679000,694000,685000,650000,688250,680000,675000,678950,684950,675000,670000,675000,688500,689000,709000,749900,719000,709900,709450,727000,719000,714000,729450,722000,707500,734475,749000,749950,745000,734450,741750,739000,744000,749499.5,750000,749999.5,749000,750000,749900,749949.5,744500,749999,749999.5,749999,750000,750000,750000,750000,769000,779000,779900,825000,849000,849450,799000,799450
"Summerlin North","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",59,364950,359900,339450,339700,342450,329900,325000,299999,290000,282500,275000,273510.5,259900,271000,269000,260213,264950,259000,256000,254900,250000,254900,249900,256249.5,251800,254999,259900,269900,279000,289000,289000,279900,270000,278750,280000,276900,272000,281745.5,299000,299945,3e+05,299990,309000,320000,349000,367450,383995,379997.5,389990,387900,4e+05,385000,391000,395000,396857.5,399540,399990,407495,411000,427450,425000,433000,478590,450000,459000,449900,449999,449900,449900,447000,444950,450568,449495,453000,472394,476389,469900,469000,469000,461051,459000,442300,439998.5,449900,450000,449000,454193.5,459000,465000,480000,493995,499000,504999.5,530000,530000,530000,555000,555745,539000,535000,529350,520000,518450,533499.5,549900
"Memorial","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730000,742000,675000,699450,685000,690000,730000,699000,669000,695000,699700,749000,798900,785000,785000,746000,759000,754500,749000,729900,719000,690000,690000,690000,687500,687000,675000,715000,699000,699000,699000,699000,719450,739000,709000,675000,687450,734000,719000,729000,719250,699000,699000,690500,688000,649000,599900,585000,575000,599900,644500,640000,640000,629900,643900,629450,619900
"Encino","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",61,,,,,,,,,,,,,,,1195000,1099777,1199000,1099388.5,1040000,1044500,992500,999499.5,992500,959000,977000,995000,999999.5,1024499.5,995000,997000,999000,999000,1092000,1042000,1165000,1149500,1256000,1290000,1292500,1213000,1173900,1250000,1264000,1249975,1249000,1274000,1299000,1249000,1150000,1250000,1222000,1249000,1265000,1275000,1299000,1287000,1249000,1187000,1225000,1250000,1349750,1350000,1399999.5,1495000,1537500,1512500,1499000,1499000,1525000,1499000,1499000,1512000,1537000,1497000,1499000,1499000,1479900,1499499.5,1569000,1599000,1624999.5,1599000,1579000,1599000,1499000,1499000,1549499.5,1725000,1725000,1569000,1574000,1650000,1749500,1749000,1874500,1925000,1675000,1650000,1595000,1714000,1797000,1739000,1675000,1675000,1684000
"Briargate","Colorado Springs","CO","Colorado Springs","El Paso",62,309900,321250,309900,300945,314950,309900,309900,313550,308000,303950,309000,315800,310000,309000,319950,322625,319900,319925,314000,310000,314000,309900,310000,309900,309795,317450,331925,334850,326900,325000,319900,310000,310000,309925,299450,314500,324950,325000,327200,334500,326200,324900,317700,320350,319900,301150,313525,319900,345950,349325,345000,349500,349900,349900,339950,325000,323957.5,329900,329900,332450,347925,339900,339400,349000,347925,359900,354900,354900,359900,354700,355725,361550,360650,374500,374000,374900,368700,375000,364900,360000,361250,369900,379900,381607.5,379986,393650,395000,394350,399450,4e+05,398125,389825,399900,399900,410974.5,424900,427041,428877.5,425000,425000,420000,425000,412450,424949.5,429900
"Newbury Park","Thousand Oaks","CA","Oxnard-Thousand Oaks-Ventura","Ventura",63,837777,849000,824900,729000,724450,709000,686975,687323,675000,687323,675000,668500,658250,659000,679925,679925,699000,677250,679900,664900,649000,632475,599000,587000,629000,647000,622500,639000,634900,645000,649900,650000,668000,666250,637450,649000,598000,597000,625000,639000,674900,660000,649250,699900,669000,696975,699000,694950,684900,701700,740000,672000,749900,774450,779000,781500,764950,759999.5,769950,789900,765000,769450,779000,799000,794500,808500,814450,799450,799000,799000,799000,799450,799000,789000,787000,787000,799000,797500,798500,826950,899450,859000,858950,858950,825000,799000,799499.5,799450,850000,849950,850000,835000,819000,829000,849000,814449.5,859000,871950,874900,869900,850000,859000,865000,850000,849000
