"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"North Shore","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade",432,,,,,,,,,,1965,1700,1725,1692.5,1690,1750,1825,1800,1700,1850,1850,1950,1995,1950,1800,1950,2000,2175,2100,2200,2000,1850,1800,1800,1775,1750,1750,1800,1950,2100,2200,2300,2300,2100,2250,2200,2200,2200,2250,2250,2200,2187.5,2250,2300,2500,2300,2100,2100,2200,2100,2150,2200,2300,2500,2500,2500,2410,2400,2300,2300,2400,2400,2347.5,2345,2350,2250,2200,2200,2100,2200,2000,2200,2200,1990,1950,1950,2000,1997,1900,1975,2100,2150,2000,2050,2000,2000,2000,2000,2000,2000,2200,2200,2200,2100,2150
"Near West Side","Chicago","IL","Chicago-Naperville-Elgin","Cook",433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2195,2220,2250,2400,2400,2400,2300,2300,2200,2195,2137.5,2200,2200,2350,2300,2300,2375,2375,2400,2675
"Squirrel Hill South","Pittsburgh","PA","Pittsburgh","Allegheny",434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1612.5,1575,1750,1750,1610,1550,1625,1725,1750,1697.5,1700,1600,1750,1787.5,1710,1750,1800,1797.5,1750,1700,1600
"West University","Austin","TX","Austin-Round Rock","Travis",435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1650,1650,1650,1550,1550,1495,1400,1500,1625,1700,1650,1750,1750,1695,1600,1500,1495,1500,1450,1500
"Scripps Ranch","San Diego","CA","San Diego-Carlsbad","San Diego",436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2125,2305,2272.5,2595,2725,2500,2372.5,2525,2650,2695,2500,2662.5,2650,2700,2400,2500,2450,2722.5,2700,2649
"Lake Hills","Bellevue","WA","Seattle-Tacoma-Bellevue","King",437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2740,2900,2725,2650,2575,2450,2350,2295,2495,2595,2697.5,2650,2800,2800,2790,2695,2697.5
"Goose Island","Chicago","IL","Chicago-Naperville-Elgin","Cook",438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2372.5,2395,2800,2550,2650,2800,2730,2804,2775,2750,2500,2500,2500,2575,2695,2650,2804,2500,2800,2800,2500,2500
"Rita Ranch","Tucson","AZ","Tucson","Pima",439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175,1100,1195,1200,1165,1197.5,1200,1200,1200,1205,1250,1200,1195,1195,1195,1205,1250,1250,1300,1300,1277.5,1245,1250
"Gandy-Sun Bay South","Tampa","FL","Tampa-St. Petersburg-Clearwater","Hillsborough",440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525,1600,1695,1597.5,1672.5,1850,1600,1675,1675,1695,1700,1850,1800,1700,1695,1625,1600,1695,1700,1750,1780,1825,1800,1800,1800,1750,1800
"Park Manor","Chicago","IL","Chicago-Naperville-Elgin","Cook",441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,975,1000,1050,1050,1100,1125,1075,1150,1100,1050,1150,1150,1100,1050,1100,1100,1100,1000,1000,1100
