"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"Bayshore","NC","Wilmington","New Hanover","Wilmington",4213,1838,0.00108932461873638,0.00767543859649123,0.0349099099099099,2292
2018-09-30,"South Salt Creek","NE","Lincoln","Lancaster","Lincoln",4214,913,-0.00436205016357688,-0.00327510917030568,-0.0224839400428266,1168
2018-09-30,"Navco","AL","Mobile","Mobile","Mobile",4215,790,0,0,-0.00252525252525253,1132
2018-09-30,"Meydenbauer","WA","Seattle-Tacoma-Bellevue","King","Bellevue",4216,3495,-0.00057191878753217,-0.00710227272727273,-0.113394216133942,1805
2018-09-30,"Fair Oaks","CA","San Francisco-Oakland-Hayward","San Mateo","Menlo Park",4217,4149,-0.000240963855421687,0.00265828902851619,-0.00812813770021516,996
2018-09-30,"Spring Creek Neighborhood Alliance","TX","San Antonio-New Braunfels","Bexar","San Antonio",4218,1353,0,0.000739644970414201,0.00148038490007402,1193
2018-09-30,"Livingston - McNaughten","OH","Columbus","Franklin","Columbus",4219,855,-0.00116822429906542,0.00470035252643948,0.0529556650246305,887
2018-09-30,"Downtown East","LA","Baton Rouge","East Baton Rouge","Baton Rouge",4220,976,-0.00306435137895812,-0.011144883485309,-0.0588235294117647,1239
2018-09-30,"Riverside Heights","FL","Tampa-St. Petersburg-Clearwater","Hillsborough","Tampa",4221,1400,-0.0014265335235378,-0.00568181818181818,-0.0371389270976616,1404
2018-09-30,"Twinbrooks","FL","Tampa-St. Petersburg-Clearwater","Pinellas","Saint Petersburg",4222,1146,0,-0.000871839581517001,0.00969162995594714,1175
2018-09-30,"Andersonville","IL","Chicago-Naperville-Elgin","Cook","Chicago",4223,1741,-0.00114744693057946,-0.00571102227298686,-0.0573903627504061,1552
2018-09-30,"Delman","CA","Riverside-San Bernardino-Ontario","San Bernardino","San Bernardino",4224,1403,-0.000712250712250712,-0.014747191011236,0.0438988095238095,701
2018-09-30,"Cedonia","MD","Baltimore-Columbia-Towson","Baltimore City","Baltimore",4225,1333,0.000750750750750751,-0.00149812734082397,0.0113808801213961,845
2018-09-30,"Bay Village","MA","Boston-Cambridge-Newton","Suffolk","Boston",4226,2943,-0.000339673913043478,0.0023841961852861,0.00684228532329798,774
2018-09-30,"Mohican Regent","MI","Detroit-Warren-Dearborn","Wayne","Detroit",4227,778,0,0.00257731958762887,0.0291005291005291,1049
2018-09-30,"Lake Forest","OR","Portland-Vancouver-Hillsboro","Clackamas","Lake Oswego",4228,2167,-0.000461254612546125,-0.00413602941176471,-0.045374449339207,1240
2018-09-30,"Greektown","MD","Baltimore-Columbia-Towson","Baltimore City","Baltimore",4229,1293,0,-0.000772797527047913,-0.0343539955190441,1609
2018-09-30,"Claremont","AL","Mobile","Mobile","Mobile",4230,1190,0,0.00337268128161889,0.0329861111111111,952
2018-09-30,"Ortega Farms","FL","Jacksonville","Duval","Jacksonville",4231,1141,0,0.00087719298245614,0.0169340463458111,956
2018-09-30,"Saint Joseph","KY","Louisville/Jefferson County","Jefferson","Louisville",4232,995,0.00100603621730382,0.0030241935483871,-0.0568720379146919,1227
2018-09-30,"Folsom Road","CA","Sacramento--Roseville--Arden-Arcade","Placer","Roseville",4233,1593,0,0,0.0204996796925048,930
2018-09-30,"Langdon","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",4234,2588,0.00193573364305072,0.00818075574600701,-0.0088088854844887,1008
2018-09-30,"North Garrison Heights","WA","Portland-Vancouver-Hillsboro","Clark","Vancouver",4235,1638,0,0.000610873549175321,0.0142414860681115,851
2018-09-30,"Limberlost","AZ","Tucson","Pima","Tucson",4236,1100,0.000909918107370337,0.00273473108477666,0.0119595216191352,812
2018-09-30,"Gillette Area","TX","San Antonio-New Braunfels","Bexar","San Antonio",4237,1086,0,0,-0.0154125113327289,792
2018-09-30,"Northside","MT","Missoula","Missoula","Missoula",4238,1090,-0.000916590284142988,0,-0.0036563071297989,868
2018-09-30,"Russell Woods","MI","Detroit-Warren-Dearborn","Wayne","Detroit",4239,765,-0.00260756192959583,-0.00778210116731518,-0.00260756192959583,1063
2018-09-30,"Preserve North","OH","Columbus","Franklin","Columbus",4240,2120,0,-0.018972697825081,0.0412573673870334,1267
2018-09-30,"Wakefield","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",4241,2487,-0.00160578081091931,-0.00718562874251497,-0.0876742479823918,1073
2018-09-30,"Shirrells","CA","Riverside-San Bernardino-Ontario","San Bernardino","San Bernardino",4242,1560,-0.00446713465220166,-0.0107799619530755,-0.00383141762452107,566
