"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Park Manor","Chicago","IL","Chicago-Naperville-Elgin","Cook",317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69900,69900,75000,69900,67900,74700,73000,70450,79900,79900,79900,79900,76000,73000,79000,75000,77000,72000,74000,75000,80000,75000,72000,70000,81000,82450,73250
"Thomas Dale","Saint Paul","MN","Minneapolis-St. Paul-Bloomington","Ramsey",318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,119000,120000,122400,129900,114900,113450,121000,112400,125000,129950,134000,137450,134900,135000,134900,129900,131900,128000,128000,122423,124900,124946,145900,142450,144900,145900,139950,129999,129900,139900,139200,139950,147900,154900,149900,149900,147900,164900,165000,165000
"West End","Billings","MT","Billings","Yellowstone",319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132883.5,126450,144950,145262,128450,132000,139900,140000,133450,139000,134900,149950,145624,150000
"Near Westside","Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion",320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39500,39500,36150,35000,35000,34900,32995,34450,34450,34900,30000,32500,30500,34900,35000,37000,37000,37000,39250,39900,35000,34900,34900,36000,39900,39900,39900,39900,39900,41450,42500,42500,40000,39900,45000,44250,43500,45000,47200,48000
"Pioneer Park","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84500,82500,85999,89000,85949.5,84950,82500,82000,82000,84250,84000,85000,89000,85000,89000,90000,89900,84900,84950,89000,85000,85000,85000,85000,85000,90000,98900,102000,105000,104750,105000,109999,110000,112500,111749.5,110000,112500,109000,116000,116500,113500,117250,124999,129000,125000,129900,130000,134500,137900,139610,139900,139900,138944,139999,139000,146900,149950,155000,160000,159900
"West Biloxi","Biloxi","MS","Gulfport-Biloxi-Pascagoula","Harrison",322,,,,,,,,,,,,,,,,,,,,,,,,,,,51200,58500,62950,62900,59900,59000,63900,62750,62500,59838.5,62500,62500,59700,59500,59700,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,54900,57250,59500,59000,59000,60000,60000,59900,59000,59500,59500,59500,59500,59500,59500,59950,59500,59500,59200,54750,55900,54900,58000,55000,54950,56000,57000,59900,59900,65000,60950,59900,61950,59900,60475,64350,65000,59999,59900,59900,59450,59000,62950,63900,61950,59900,66000,65000,67250,74900,75000,75000
"Valley View","Henderson","NV","Las Vegas-Henderson-Paradise","Clark",323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95000,98000,98500,99000,99900,99000,99900,102250,107000,99900,1e+05,1e+05,110000,110000,110000,110000,105500,110000,117500,124950,118250,118250,118656,119328,120000,125000,125000,126999.5,130000,130000,130000,130000,130000,133500,130000,132000,132000,135000,135000,135000,131000,132000,130000,149500,150000,150000,149500,140000,130000,145000,133500,149500,159999,154950,150000,150000,169999.5,157475
"Greater Third Ward","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e+05,99995,1e+05,99995,1e+05,1e+05,99990,99950,99000,99000,99000,99900,99000,99000,1e+05,1e+05,99999,99999,99999,99949.5,99999.5,1e+05,102725,108000,105000,98500,95000,90000,94250,1e+05,100450,103000,103000,101725,103000,103000,103000,105000
"Belair-Edison","Baltimore","MD","Baltimore-Columbia-Towson","Baltimore City",325,104900,106950,99999.5,104000,1e+05,99900,99450,99450,93750,89900,89900,89000,89000,89900,89000,84900,79900,76250,78049.5,88450,83000,79900,76599,72100,69900,69900,69000,68900,65000,69900,60000,60000,60000,60000,60000,60000,60000,59000,55000,55000,55000,59950,63400,60000,65000,58774,49999,49949.5,49000,49000,51500,51500,50000,50000,52750,53950,52000,54900,59000,62500,59450,53500,59900,59450,59900,59990,59900,59990,59999,59999,59900,65000,61450,57375,57000,65000,60000,65000,65000,67000,69500,69000,69289.5,69750,79900,75000,81200,79900,79900,79900,79999,82500,82499.5,75000,74900,75000,79900,79900,79900,83450,81999,84000,89900,80000,79900
"Mt Pleasant","Cleveland","OH","Cleveland-Elyria","Cuyahoga",326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25995,29950,30000,29900,29000,25999,25200,24950,25100,25550,25200,25000,28900,28000,29000,29450,29900,27450,25080,26500,25750
