"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Alafaya","Orlando","FL","Orlando-Kissimmee-Sanford","Orange",11,,,,,0.654468004177301,0.67065140447119,0.694593466857415,0.694742489270386,0.700283339170985,0.672424139130929,0.670333481863965,0.675797783437661,0.674639681079424,0.670498084291188,0.67063697566028,0.660714285714286,0.681426106958022,0.675675675675676,0.699844479004666,0.70189701897019,0.691714836223507,0.696629213483146,0.679824561403509,0.687336106540196,0.6900878293601,0.684931506849315,0.67763905986629,0.697596658106984,0.705386246631263,0.706601380919664,0.713521227256511,0.722408917776819,0.723172628304821,0.717213114754098,0.710350955131053,0.699019289241504,0.702712222613596,0.708411419185076,0.702712222613596,0.701710261569417,0.704865848112779,0.723172628304821,0.72083465608314,0.740310610225399,0.719101123595506,0.723692026002368,0.723172628304821,0.723389596968653,0.72166861867916,0.724468636599274,0.747588424437299,0.74745138176559,0.746322704351694,0.740532433445819,0.742115027829313,0.7262192979465,0.723172628304821,0.747588424437299,0.741837524636756,0.74879421221865,0.754760798885276,0.752823086574655,0.744119059049448,0.748920338660844,0.74812382739212,0.772357723577236,0.758993177270406,0.753257328990228,0.748257482574826,0.746457763620519,0.742729340875553,0.738772338012748,0.746205825454347,0.763157894736842,0.767352643787545,0.786162907206921,0.789851603638104,0.816276803118908,0.8211865590131,0.79774991935976,0.767590618336887,0.774725436575233,0.76264130302662,0.811088572551721,0.826853291861068,0.832897486971263,0.85429229823265,0.804924242424242,0.822348797958,0.856544544144119,0.86176839694915,0.873138161273755,0.857449088960343
"Woodland Hills","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73472075869336,1.96238068500842,1.87849720223821,1.87093331721227,1.9593253968254,1.98412698412698,1.77458033573141,1.89150401836969,1.8575966503096,1.77458033573141,1.9222069262659,1.91176178502338,1.95939252768269,1.93081255028158,1.8452859825921,1.9373258762755,1.875,1.91973969631236,1.91973969631236,1.92999448068572,1.88492063492063
"Eldridge - West Oaks","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.881808420039249,0.855172200932606,0.898286048703241,0.948275862068966,1.00874309240909,0.994428753016437,0.963821044338833,0.954805856142584,0.917431192660551,0.897072710103872,0.879204892966361,0.876494023904382,0.857933760606785,0.838304984344588,0.926229508196721,0.966315789473684,0.961161239701844,0.974551125186198,0.997989302132234,0.996601507257653,0.985384122165441
"Cordova-Appling","Memphis","TN","Memphis","Shelby",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.645951971514337,0.617513424204874,0.632670334320779,0.634090909090909,0.640803602355386,0.625814021903374,0.634920634920635,0.634920634920635,0.616740088105727,0.623898482296564,0.606698575783924,0.637825845812535,0.64664069312223,0.649636643911033,0.623262279888786,0.651080945198592,0.632670334320779,0.668654034990053,0.668755862888105,0.682840754538845,0.668847245052251
"South Dorchester","Boston","MA","Boston-Cambridge-Newton","Suffolk",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87268018990073,2.06294326241135,1.90715340789196,1.82151442307692,1.84615384615385,1.90909090909091,1.83333333333333,1.84229918938836,1.86666666666667,1.925,1.96428571428571,2.0830615942029,2.07916666666667,2.065,2.16,2.16,2,1.84615384615385,1.78348214285714
"Princess Anne","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.885076314558574,0.907150480256137,0.903422100771254,0.9000900090009,0.895677803074425,0.894027686860439,0.901999024865919,0.889809848854217,0.873511209578588,0.881226053639847,0.871513944223108,0.890721109657805,0.913207534292737,0.921862971516551,0.921862971516551,0.891801914273824,0.900932709957448,0.883642930856553,0.885285740087701,0.878898412545545
"Kingwood","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756717172520714,0.786046511627907,0.778841462610599,0.787650630722087,0.810953346855984,0.823747463276582,0.801255558070096,0.763942039687481,0.791052918712493,0.806995677457866,0.785084683129789,0.813142278660788,0.804458309189473,0.81621906266456,0.830103359173127,0.812136071100215,0.8249348392702,0.8249348392702,0.808854831843338,0.780632411067194,0.799474714902451
"Centennial Hills","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.725674620602157,0.731922398589065,0.741402719654356,0.738709677419355,0.769112365315546,0.762426515749759,0.763924374041901,0.710500963391137,0.710668936631191,0.732899022801303,0.74345818368394,0.742682394058541,0.758498920378476,0.760088446655611,0.756235583573624,0.802407221664995,0.765247410817031,0.761086241103218,0.786014721345952,0.802879291251384,0.820495535278068
"Lone Mountain","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.690069149760147,0.707324276432369,0.69788383610986,0.707898658718331,0.721401580212985,0.726445274582581,0.723054954711369,0.722106801936071,0.719257540603248,0.719615761371211,0.718871193631266,0.73191659095648,0.712894150775927,0.694206021230154,0.708024040571894,0.756107834877843,0.735705555974463,0.765271697734874,0.777063236870311,0.795012369953478,0.817137809187279
"Summerlin North","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",20,,,,,0.782068997206896,0.82412722233785,0.834633095662507,0.78786383317142,0.76303518440017,0.768093743873981,0.741935483870968,0.790136789056875,0.78915295551493,0.758354565233394,0.768910640514531,0.760340632603406,0.742721330956625,0.749265426052889,0.730954567640238,0.766621438263229,0.737820647941748,0.753991720875222,0.745815436628863,0.728040703844554,0.729431106336155,0.732844770153231,0.758640890451084,0.765855305147136,0.75041689827682,0.747764902163466,0.769725557461406,0.772708175905419,0.772708175905419,0.766621438263229,0.746268656716418,0.741005438572026,0.755229686619177,0.73943661971831,0.748055056852184,0.753654009733084,0.780572419774501,0.778894472361809,0.772986167615948,0.772986167615948,0.772777373084782,0.784465020576132,0.753996572986296,0.771126307642152,0.780015094141682,0.779457768508863,0.779457768508863,0.780137695035765,0.781865616519013,0.815709477090074,0.828953169562282,0.795778665145465,0.781865616519013,0.794714729398129,0.774985038898863,0.805129990714949,0.79981718464351,0.79352485731413,0.810507123473541,0.817026350677863,0.839688545127995,0.847932974259564,0.839622805947256,0.845728583045761,0.814901047729919,0.8271497162811,0.800087321049297,0.830633500264048,0.806370070778564,0.817757009345794,0.826787293373711,0.840807174887892,0.850785340314136,0.85,0.883120572077164,0.846295967170759,0.853131749460043,0.864367101033388,0.876258917752044,0.891245230018216,0.85828161129366,0.886850152905199,0.889935547843332,0.911974623314829,0.896835775541134,0.893940781313733,0.89126559714795,0.883416052307277,0.87560121288164
