"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"Ponderosa-Wingate","NC","Charlotte-Concord-Gastonia","Mecklenburg","Charlotte",5285,962,0.00627615062761506,0.0169133192389006,0.0456521739130435,515
2018-09-30,"Promontory Pointe-Heights","TX","San Antonio-New Braunfels","Bexar","San Antonio",5286,2139,-0.000467289719626168,-0.0032618825722274,-0.0286103542234332,762
2018-09-30,"Colonia Del Valle","AZ","Tucson","Pima","Tucson",5287,1129,0.000886524822695035,0.0116487455197133,-0.0052863436123348,931
2018-09-30,"Garland","AL","Mobile","Mobile","Mobile",5288,1142,0,-0.00174825174825175,-0.00781928757602085,710
2018-09-30,"Adair Park","GA","Atlanta-Sandy Springs-Roswell","Fulton","Atlanta",5289,1210,0,0.004149377593361,0.0413080895008606,432
2018-09-30,"Carter Park","WA","Portland-Vancouver-Hillsboro","Clark","Vancouver",5290,1637,0,0.000611246943765281,0,696
2018-09-30,"Swillburg","NY","Rochester","Monroe","Rochester",5291,1290,0,0,0,464
2018-09-30,"Barton Creek","TX","Austin-Round Rock","Travis","Austin",5292,5065,-0.00354121581743065,-0.00666797411257109,-0.117903169627308,968
2018-09-30,"Shepherd Canyon","CA","San Francisco-Oakland-Hayward","Alameda","Oakland",5293,3771,-0.0021169621593014,-0.00893561103810775,-0.0651958353991076,689
2018-09-30,"Southern Oaks","CA","Bakersfield","Kern","Bakersfield",5294,1548,0,0,0.000646412411118293,637
2018-09-30,"Avalon","CA","Bakersfield","Kern","Bakersfield",5295,1776,0.00169204737732657,0.00395703787450537,0.00966458214894827,1369
2018-09-30,"Spring Harbor","WI","Madison","Dane","Madison",5296,1440,-0.000693962526023595,-0.00346020761245675,-0.026369168356998,1219
2018-09-30,"East Allegheny","PA","Pittsburgh","Allegheny","Pittsburgh",5297,1165,0.00431034482758621,0.0139251523063534,-0.0466448445171849,591
2018-09-30,"Hannon Park","AL","Mobile","Mobile","Mobile",5298,1039,0,-0.00192122958693564,-0.0280636108512629,746
2018-09-30,"Swann Estates","FL","Tampa-St. Petersburg-Clearwater","Hillsborough","Tampa",5299,2151,-0.00508788159111933,-0.00646651270207852,-0.0692340977931631,764
2018-09-30,"Idle Hour","KY","Lexington-Fayette","Fayette","Lexington",5300,1044,0,0.000958772770853308,0.00384615384615385,587
2018-09-30,"Parkway East","WA","Portland-Vancouver-Hillsboro","Clark","Vancouver",5301,1694,0,0,0.0125523012552301,591
2018-09-30,"Goldman Park","WI","Milwaukee-Waukesha-West Allis","Milwaukee","Milwaukee",5302,1263,-0.00315706393054459,-0.0109631949882537,-0.0299539170506912,524
2018-09-30,"Barnaby Woods","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",5303,4097,0.00171149144254279,0.00961064563824544,-0.0137217140105922,689
2018-09-30,"Rose","AZ","Tucson","Pima","Tucson",5304,949,0.00105485232067511,0,-0.00628272251308901,608
2018-09-30,"Greenbriar Farm","OH","Columbus","Franklin","Columbus",5305,1594,-0.00187852222917971,-0.00808960796515246,-0.0409145607701564,527
2018-09-30,"Legion Village","LA","Baton Rouge","East Baton Rouge","Baton Rouge",5306,929,-0.00959488272921109,-0.0221052631578947,-0.0865290068829892,452
2018-09-30,"Butcher's Hill","MD","Baltimore-Columbia-Towson","Baltimore City","Baltimore",5307,1664,-0.000600600600600601,-0.00893388921977368,-0.087719298245614,786
2018-09-30,"Wesley Heights","NC","Charlotte-Concord-Gastonia","Mecklenburg","Charlotte",5308,1493,0,-0.00267201068804275,-0.0132187706543291,627
2018-09-30,"Biltmore","FL","Jacksonville","Duval","Jacksonville",5309,1087,0.00369344413665743,0.0168381665107577,0.0362249761677788,688
2018-09-30,"Kiwanis Park","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Tempe",5310,1349,0,0,0.0227445034116755,890
2018-09-30,"Matlock Heights","KS","Wichita","Sedgwick","Wichita",5311,646,-0.00154559505409583,-0.00308641975308642,-0.0541727672035139,796
2018-09-30,"Oakdale","IN","Fort Wayne","Allen","Fort Wayne",5312,691,0,0,-0.00860832137733142,690
2018-09-30,"Cornell Heights","OH","Dayton","Montgomery","Dayton",5313,691,0,0.00144927536231884,0.0161764705882353,780
2018-09-30,"Hillcrest","TX","San Antonio-New Braunfels","Bexar","San Antonio",5314,1249,0,-0.00319233838786911,-0.0295260295260295,459
2018-09-30,"Brookwood Hills","GA","Atlanta-Sandy Springs-Roswell","Fulton","Atlanta",5315,5179,0,-0.00192715359414145,-0.0144624167459562,511
2018-09-30,"Easton","NC","Winston-Salem","Forsyth","Winston-Salem",5316,717,0.00420168067226891,0.0141442715700141,0.0590841949778434,784
2018-09-30,"Bonne Hills","MO","Kansas City","Jackson","Kansas City",5317,1048,0,-0.00285442435775452,-0.0205607476635514,807
2018-09-30,"Kenilworth","PA","Philadelphia-Camden-Wilmington","Chester","North Coventry",5318,1740,0,0,0.00288184438040346,615
2018-09-30,"Texas Street","AL","Mobile","Mobile","Mobile",5319,828,-0.00120627261761158,-0.00719424460431655,-0.0758928571428571,476
2018-09-30,"Mountain Island","NC","Charlotte-Concord-Gastonia","Mecklenburg","Charlotte",5320,1447,0,0,0.000691562932226833,1444
2018-09-30,"West Davis Manor","CA","Sacramento--Roseville--Arden-Arcade","Yolo","Davis",5321,2891,0.00242718446601942,0.00731707317073171,-0.00550395596835225,447
2018-09-30,"Eastwood Village","TX","San Antonio-New Braunfels","Bexar","San Antonio",5322,995,-0.00100401606425703,-0.004004004004004,-0.016798418972332,802
2018-09-30,"New Southwest - Mount Clare","MD","Baltimore-Columbia-Towson","Baltimore City","Baltimore",5323,1174,0,-0.00424088210347752,-0.0208507089241034,1209
2018-09-30,"East Village","TX","San Antonio-New Braunfels","Bexar","San Antonio",5324,1039,0,0.0028957528957529,0.0136585365853659,920
2018-09-30,"River West","IL","Chicago-Naperville-Elgin","Cook","Chicago",5325,2029,0.00148075024679171,-0.0053921568627451,-0.0827305605786618,1016
2018-09-30,"Schenk-Atwood-Starkweather-Yahar","WI","Madison","Dane","Madison",5326,1316,0,-0.00303030303030303,-0.0491329479768786,662
2018-09-30,"Highland Grove","FL","Tampa-St. Petersburg-Clearwater","Pinellas","Saint Petersburg",5327,1200,0,0.000834028356964137,-0.0220048899755501,827
