"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"West Roxbury","Boston","MA","Boston-Cambridge-Newton","Suffolk",179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160,2387.5,2325,2300,2375,2430,2465,2430,2337.5,2455,2340,2375,2390,2450,2400,2470,2570,2610,2560
"Little Haiti","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade",180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2050,1900,2000,2050,2150,1800,1899,1850,1950,1999.5,1950,1975,1950,1800,1850,2100,2200
"Spring Branch West","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1725,1700,1825,1700,1700,1772.5,1800,1800,1800,1800,1800,1774.5,1800,1800,1850,1774,1900,1849,1800,1772.5,1797.5,1700,1850,2000,1980,1900,1850
"Neartown - Montrose","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2425,2800,2500,2125,2350,2700,2497.5,2500,2625,2650,2500,2600,2500,2700,2850,2850,2800,2750,2550,2495,2625,2500,2700,2625,2600,2850
"Downtown","Jersey City","NJ","New York-Newark-Jersey City","Hudson",183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1990,1980,2000,2000,1980,2075,1980,1980,2190,2187.5,2000,2075,2042.5,2100,2475,2250,2325,2200,2175,2225,2100,2050,2000,2100,2197.5,2225,2150,2250,2300,2285
"Sugar House","Salt Lake City","UT","Salt Lake City","Salt Lake",184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560,1550,1747.5,1895,1850,1785,1725,1697.5,1595,1695,1700,1895,1800,1822.5,1795,1950,2025,1950,1800
"North Valleys","Reno","NV","Reno","Washoe",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,1222.5,1295,1375,1450,1450,1430,1400,1400,1395,1295,1397.5,1350,1350,1395,1505,1500,1595,1595,1595,1512.5
"South End","Boston","MA","Boston-Cambridge-Newton","Suffolk",186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,3600,3600,3400,3450,3400,3400,3200,3000,3250,3450,3750,3575,3725,3600,3525,3550,3450,3200
"Westchase","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,782.5,772.5,769,772.5,776,767,779.5,782.5,782.5,785,782.5
"Washington Avenue Coalition - Memorial Park","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,2850,2825,2772.5,2797.5,2800,2799.5,2800,2800,2900,2900,2975,2900,2899,2700,2750,2795,2700,2700,2800,2850,2700,2795,2600,2700,2772.5,2600,2545,2500,2650,2650,2600,2650,2600,2650,2600,2600,2600,2592.5,2600,2650,2600,2600,2585,2567.5,2600,2600,2700,2700,2650
