"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York",11,,,2195,2225,2200,2195,2250,2200,2200,2200,2200,2200,2250,2295,2295,2295,2300,2300,2300,2300,2250,2295,2295,2299,2295,2299,2325,2375,2400,2400,2450,2400,2400,2395,2392.5,2395,2395,2395,2395,2415,2500,2510,2400,2450,2500,2500,2495,2495,2550,2500,2418,2500,2500,2550,2550,2695,2700,2700,2650,2570.5,2650,2650,2650,2550,2500,2500,2500,2600,2595,2450,2600,2495,2650,2683,2606,2699,2700,2750,2800,2750,2700,2650,2595,2568.5,2595,2565,2625,2650,2650,2651.5,2699,2750,2695
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177,1303.5,1350,1350,1318,1291,1262,1264,1300,1300,1300,1300,1327.5,1347.5,1420,1436.5,1370,1400
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.5,1050,1100,1194.5,1142.5,1145,1170,1135,1165,1087,1099.5,1125,1199.5,1220,1199,1199,1225,1230,1260
"Astoria","New York","NY","New York-Newark-Jersey City","Queens",14,,,,,,2225,2300,2400,2400,2400,2350,2400,2400,2495,2495,2500,2400,2400,2500,2600,2700,2600,2500,2600,2550,2550,2600,2600,2650,2625,2600,2695,2700,2800,2800,2675,2700,2700,2700,2800,2875,2900,2852,3000,3000,3000,2800,2800,2800,2800,2800,2900,2900,2850,2895,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3097.5,3000,2950,2950,3000,2990,3000,3000,3000,2950,2900,2850,2850,2900,2800,2800,2800,2818.5,2800,2875,2900,2950,3000,2950
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",15,,,1500,1600,1525,1620,1600,1400,1540,1400,1375,1397.5,1275,1230,1334,1314,1375,1450,1415,1495,1500,1375,1320,1365,1405,1350,1416,1450,1450.5,1475,1475,1432.5,1542.5,1597.5,1650,1600,1642.5,1690,1695,1651,1680,1800,1775,1650,1600,1597.5,1610,1670,1745,1699,1650,1707.5,1700,1750,1734,1720,1695,1697.5,1724.5,1750,1797.5,1750,1742,1720,1729.5,1772.5,1756,1800,1875,1800,1750,1750,1887.5,1810,1847,1895,1999.5,2000,2000,1950,1925,1848.5,1895,1825,1800,1750,1816,1897.5,1964,2000,1968,1909.5,1935
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings",16,,,,,,,1950,1950,1900,1900,1900,1900,1950,1850,1900,1900,1999,2000,2100,2200,2100,2100,2000,2000,2100,2137.5,2200,2200,2450,2600,2598.5,2622.5,2599,2500,2500,2500,2550,2550,2550,2599,2500,2500,2599,2600,2700,2675,2675,2600,2550,2600,2600,2600,2700,2695,2695,2700,2795,2750,2800,2800,2800,2795,2750,2700,2795,2800,2800,2800,2800,2876,2850,2750,2800,2700,2765.5,2800,2800,2800,2800,2800,2849.5,2795,2686,2600,2699,2700,2800,2800,2799,2799,2800,2800,2825
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings",17,,,,,,3000,3000,2975,3000,3250,3200,3000,2900,3000,3049.5,3000,3125,3082.5,3200,3300,3300,3200,3200,3200,3300,3200,3195,3300,3499,3499,3500,3500,3547.5,3500,3500,3403.5,3395,3300,3400,3422,3500,3600,3500,3500,3500,3400,3500,3500,3500,3500,3500,3600,3872.5,3695,3650,3650,3800,3700,3700,3650,3700,3795,3800,3795,3638,3600,3600,3785,3700,4000,3795,3697.5,3700,3350,3400,3599,3650,3700,3697.5,3600,3750,3699.5,3525,3522.5,3550,3567.5,3500,3514.5,3500,3599,3500,3495,3450
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,3945,3600,3600,3800,3825,3822.5,3675,3900,3895,3895,4335,4000,3895,4000,4195,4150,4150,4100,4195,4135
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1659,1762,1675,1582,1589,1585.5,1550,1550,1575,1495,1465,1495,1497,1500,1550,1532,1591,1624,1685,1640
"East Side","El Paso","TX","El Paso","El Paso",20,,,,,1100,1050,1050,995,1060,1072.5,1000,995,1050,1050,1100,1150,1100,1100,1050,1050,1012.5,997.5,995,987.5,975,975,975,995,1000,1000,1000,1050,1000,1000,975,1000,980,975,975,975,950,995,975,975,950,995,1000,1030,1025,1025,1035,1095,1040,1095,1100,1050,1000,1050,1050,1000,1000,1000,1000,1000,1037.5,997,1090,1045,995,1050,975,985,1000,1000,1000,1000,995,1050,1050,1050,1000,997.5,995,995,1000,975,1000,995,1000,1050,1025,995,995
"Flatbush","New York","NY","New York-Newark-Jersey City","Kings",21,,,,,,,,,,,,,,,1725,1750,1700,1900,1900,1850,1850,1899,1800,1858,1900,1950,1900,1900,2000,2150,2200,2349.5,2299,2100,2000,2200,2100,2100,2150,2200,2150,2150,2200,2100,2150,2300,2295,2100,2100,2200,2300,2367,2450,2375,2350,2375,2375,2325,2300,2300,2400,2400,2400,2375,2350,2400,2400,2400,2500,2400,2350,2350,2400,2395,2400,2400,2450,2495,2500,2500,2500,2492.5,2450,2450,2450,2495,2490,2500,2500,2499,2500,2600,2572.5
"Southeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",22,,,,,,950,937.5,850,875,985,985,975,950,899.5,900,950,950,985,985,1000,985,950,950,950,960,998,995,1000,1000,975,995,950,950,950,950,950,950,1025,1048,1048,1050,1050,998,1025,1050,1075,1050,1075,1050,1025,1062.5,1050,1050,1050,1050,1000,975,962.5,995,975,975,975,975,1069,1125,1075,1125,1000,1050,985,1050,1013,1037.5,1120,1050,1087.5,1062.5,1140,1145,1197.5,1175,1100,1100,1150,1195,1150,1150,1150,1150,1100,1162.5,1195,1150
"Crown Heights","New York","NY","New York-Newark-Jersey City","Kings",23,,,,,,,,,,,,,,,,,,,2400,2400,2500,2499,2375,2300,2350,2499,2500,2500,2650,2700,2799,2800,2800,2789,2650,2600,2650,2672.5,2650,2600,2600,2700,2799,2800,2850,2900,2900,2850,2800,2786,2750,2750,2800,2799,2800,2800,2799,2850,2800,2799,2800,2850,2895,2899,2950,2875,2849,2900,3000,3200,3000,2750,2799.5,2700,2750,2775,2799,2800,2850,2850,2847,2750,2685,2750,2795.5,2775,2800,2899,2850,2900,2999,2999,3000
"Jamaica","New York","NY","New York-Newark-Jersey City","Queens",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2100,2126.5,2225,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2250,2299,2250,2300,2300
"Harlem","New York","NY","New York-Newark-Jersey City","New York",25,,,,,,,,,,,2500,2500,2450,2400,2400,2250,2250,2300,2350,2450,2400,2500,2500,2400,2200,2300,2495,2500,2672.5,2700,2695,2600,2500,2500,2500,2472.5,2500,2600,2650,2700,2850,2800,2700,2800,2875,2899.5,2700,2700,2700,2625,2600,2625,2700,2895,2912.5,2912.5,2999,2900,2900,2872.5,2872.5,2900,2895,2900,2950,2825,2797.5,3000,2797.5,2800,2991.5,2650,2900,2850,2972.5,2995,3000,3000,3200,3000,3000,2995,2825,2700,2750,2900,2900,2999,2995,3145,3200,3197.5,3072.5
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",26,1200,1200,1250,1200,1200,1200,1195,1200,1200,1200,1200,1195,1197.5,1195,1195,1195,1195,1200,1195,1195,1195,1170,1150,1150,1150,1175,1195,1195,1195,1199,1200,1195,1195,1195,1195,1195,1195,1195,1195,1195,1200,1200,1247.5,1225,1225,1200,1200,1200,1250,1228.5,1225,1225,1225,1250,1250,1250,1250,1250,1250,1250,1250,1267.5,1255,1250,1295,1275,1295,1295,1275,1295,1295,1261.5,1300,1300,1349,1350,1350,1350,1365,1350,1350,1350,1350,1375,1395,1395,1395,1399.5,1412.5,1450,1416,1450,1450
"Williamsbridge","New York","NY","New York-Newark-Jersey City","Bronx",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1750,1800,1700,1750,1800,1750,1750,1750,1750,1700,1800,1800,1800,1750,1750,1800,1800,1800,1800,1800,1850,1800,1900,1900,1850,1900,1900,1800,1800,1800,1900,1995.5,1900,1953,1900,1900,1950,1992,1992,1900,1950,1950,1900,1953,1950,1971,2100,2100,2000,2100,2000,2000,2100,2150,2150,2150,2200,2200,2175,2200,2200
"East Harlem","New York","NY","New York-Newark-Jersey City","New York",28,,,,,,3049.5,2960,3200,2900,2797.5,2797.5,3000,3095,2995,3000,3200,3275,3450,3300,3300,3400,3495,3472.5,3300,3300,3300,3300,3299,3347.5,3395,3295,3295,3450,3450,3395,3450,3399,3350,3395,3397,3395,3395,3300,3250,3250,3300,3295,3300,3000,3195,2995,3000,3500,3450,3400,3400,3400,3400,3300,3297.5,3300,3300,3495,3499.5,3400,3472.5,3300,3450,3500,3495,3500,3450,3450,3450,3300,3300,3450,3350,3322.5,3285,3199,3199,3025,3195,3295,3325,3320,3450,3500,3547.5,3495,3500,3491
"North Scottsdale","Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa",29,,,,,,,,,,,,1772.5,1795,1775,1557,1575,1600,1575,1500,1562.5,1514,1450,1349,1466,1347,1420,1500,1550,1600,1615,1515,1624.5,1649,1795,1800,1635,1700,1730,1797.5,1700,1700,1725,1763.5,1800,1834,1795,1789,1850,1812.5,1800,1995,1998,1895,1825,1739,1852.5,1797.5,1819.5,1884,1874,1850,1800,1699,1790,1760,1785,1795,1800,1739,1795,1797.5,1749,1795,1839,1837,1800,1797.5,1860,1892,1800,1700,1752,1850,1865,1850,1850,1779,1849,1799.5,1860,1892,1950,1959
"Bushwick","New York","NY","New York-Newark-Jersey City","Kings",30,,,,,,1700,1800,1800,1950,1925,1900,1800,1750,1737.5,1800,1800,1800,2100,2195,2200,2250,2200,2195,2150,2150,2100,2200,2400,2500,2500,2500,2699,2699,2600,2600,2600,2572.5,2550,2500,2500,2500,2500,2575,2650,2699,2600,2600,2600,2700,2700,2700,2699,2667.5,2700,2800,2800,2800,2800,2800,2800,2799,2800,2800,2894,2885.5,2899,2900,2900,2900,2925,2875,2850,2850,2700,2799,2800,2895,2850,2870,2820,2775,2749,2700,2658,2700,2695,2750,2800,2850,2841,2800,2842,2750
"East Flatbush","New York","NY","New York-Newark-Jersey City","Kings",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945.5,1900,1900,1992,1900,1900,1900,1953,1950,1900,1900,1900,1900,1900,2000,2000,2000,2000,2050,2100,2100,2050,2050,2000,2095,2100,2095,2095,2000,2000,2000,2100,2097.5,2200,2200,2100,2100,2100,2200,2350,2225,2200,2250,2200,2200,2200,2200,2200,2200,2200,2300,2300,2200,2299,2295,2200,2400,2187.5,2374.5,2400
"Alief","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",32,,,,,,,,,,,,,,,,,,,,1000,995,850,959,920,900,950,962,1044,1100,1100,975,1100,1150,1099,1150,1099,1075,1062.5,1100,1175,1197.5,1150,1165,1200,1200,1200,1200,1160,1170,1200,1224,1225,1200,1250,1200,1212.5,1250,1250,1250,1250,1200,1250,1250,1289,1224.5,1250,1300,1299,1224,1275,1300,1250,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1250,1300,1300,1350,1350,1350,1258,1300,1350,1400,1399.5
"Corona","New York","NY","New York-Newark-Jersey City","Queens",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2715,2600,2480,2500,2500,2500,2500,2525,2500,2500,2500,2500,2500,2500,2575,2525,2550,2550,2557.5,2500,2675,2655,2600,2500
"East Memphis-Colonial-Yorkshire","Memphis","TN","Memphis","Shelby",34,,,,,,995,995,1112.5,999,995,962.5,972.5,1060,1100,1100,1095,1097.5,1030,1000,895,957.5,897.5,850,850,807.5,850,875,880,950,950,900,895,950,950,895,895,895,827.5,800,800,875,895,862.5,875,875,875,900,895,895,875,875,895,895,850,850,875,870,875,895,920,900,885,895,925,975,912,925,950,975,950,1025,925,895,895,950,925,985,975,950,895,900,897.5,925,900,895,875,900,895,925,925,900,925,950
"Sunset Park","New York","NY","New York-Newark-Jersey City","Kings",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420,2400,2400,2300,2300,2287,2300,2300,2325,2447.5,2497,2495,2450
"Concourse","New York","NY","New York-Newark-Jersey City","Bronx",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,2100,2000,2193,2193,2193,2193,2193,2200,2200,2300,2250,2200,2200
"Bullard","Fresno","CA","Fresno","Fresno",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,1495,1550,1450,1485,1450,1410,1495,1429.5,1450,1450,1441,1450,1447.5,1477,1495,1475,1475
"Southwest Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,1299,1395,1332.5,1350,1350,1350,1300,1350,1350,1350,1400,1345,1425,1399,1445,1395,1450,1450,1435,1435
"Bensonhurst","New York","NY","New York-Newark-Jersey City","Kings",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,2000,1900,1800,1900,1800,1800,1800,1900,2000,1900,2000,1997.5,1900,1990,2100,2250,2100,2000,2100,2147.5,2200,2200,2100,2200,2125,2100,2100,2100,2100,2000,2000,2100,2100,2150,2200,2200,2100,2200,2400,2400,2325,2150,2100,2100,2200,2100,2200,2100,2100,2100,2200,2250,2200,2200,2200,2200,2200,2200,2200,2297.5,2300
"West San Jose","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3047.5,3000,3195,3197.5,3245,3100,3197.5,3400,3650,3595,3400,3447.5,3300,3400,3450,3595,3500,3500,3572.5,3700,3574.5,3400,3400,3495,3389.5,3247.5,3122.5,3200,3250,3488,3500,3800,3795,3800,3750,3650,3500,3500,3600,3500,3450,3600,3650,3700,3810,3800,3700,3800
"Northeast","El Paso","TX","El Paso","El Paso",41,,,,,,1095,1100,1050,1150,1000,997.5,1047.5,1100,1050,1100,950,1075,1100,1000,947.5,980,995,1000,1000,950,950,982,975,988.5,1000,1025,1025,1025,995,995,995,995,1000,995,995,1000,1025,1050,975,950,950,995,992.5,995,1000,1000,995,1000,1045,995,1000,995,995,975,950,977.5,995,995,1000,995,1025,999.5,995,980,1000,950,950,975,950,985,1000,1082.5,1050,1000,995,1000,985,970,962.5,950,950,950,995,995,995,987.5,950,975
"East","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant",42,,,,,,,995,912.5,900,897.5,895,920,929,950,919,919,919,950,950,950,945,922.5,910,920,959.5,950,950,950,995,990,1000,995,995,999,1050,1050,1075,1095,1075,1075,1100,1095,1150,1100,1100,1137.5,1150,1150,1110,1125,1150,1150,1129,1150,1125,1095,1150,1195,1212.5,1195,1150,1192.5,1170,1225,1292.5,1212.5,1197.5,1240,1195,1230,1215,1197.5,1250,1250,1285,1325,1350,1395,1350,1300,1350,1340,1300,1300,1300,1350,1350,1400,1400,1425,1450,1450,1450
"South Scottsdale","Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903,1899,1850,1850,1850,1887.5,1835,1825,1835,1755,1835,1679,1850,1675,1833,1878,1894,1868,1889,1996.5
"Blossom Valley","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3195,3200,3272.5,3175,3216.5,3200,3249,3274,3175,3121,3200,3300,3300,3300,3300,3295,3250,3395,3250,3150,3100
"Sheepshead Bay","New York","NY","New York-Newark-Jersey City","Kings",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2225,2295,2300,2000,2000,2000,2000,1850,1900,1900,2000,2175,2300,2300,2300,2200,2000,2200,2200,2200,2175,2200,2100,2274.5,2300,2380,2380,2395,2300,2300,2100,2100,2100,2000,2300,2250,2300,2000,2300,2200,2500,2300,2300,2100,2100,2100,2297,2300,2400,2450,2450,2300,2250,2375,2375,2300,2375,2350,2300,2300,2300,2372.5,2500
"Willow Glen","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3195,3197.5,3350,3397.5,3500,3450,3404,3400,3425,3500,3497.5,3395,3500,3500,3500,3600,3597.5,3600,3672.5,3700,3700
"Southeast","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant",47,,1297.5,1250,1247.5,1250,1295,1250,1200,1195,1200,1200,1175,1185,1200,1250,1250,1195,1200,1225,1250,1200,1200,1250,1250,1200,1245,1255,1267.5,1275,1295,1288,1275,1250,1250,1250,1250,1250,1212.5,1225,1250,1295,1295,1300,1281,1295,1295,1300,1295,1300,1345,1345,1350,1350,1350,1395,1400,1395,1394,1395,1395,1375,1375,1385,1362.5,1385,1425,1395,1442.5,1395,1450,1387.5,1447,1450,1455,1460,1495,1500,1500,1500,1495,1500,1500,1500,1495,1500,1500,1497.5,1500,1525,1550,1550,1550,1575
"Northwest","El Paso","TX","El Paso","El Paso",48,,,1500,1500,1475,1400,1400,1350,1350,1350,1300,1300,1350,1300,1397.5,1400,1397.5,1375,1350,1400,1385,1400,1362.5,1367.5,1395,1400,1400,1362.5,1350,1300,1350,1300,1300,1287.5,1300,1300,1300,1300,1275,1275,1300,1350,1324.5,1250,1250,1250,1225,1250,1295,1300,1250,1300,1350,1350,1300,1300,1250,1250,1250,1200,1250,1250,1250,1250,1250,1375,1250,1250,1250,1225,1297.5,1250,1250,1250,1250,1250,1295,1295,1295,1275,1250,1250,1250,1250,1250,1277.5,1250,1250,1300,1350,1350,1300,1250
"Canarsie","New York","NY","New York-Newark-Jersey City","Kings",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1800,1800,1762.5,1800,1800,1800,1800,1725,1700,1775,1800,1800,1800,1800,1800,1800,1900,1900,1900,1900,1900,1995,2000,2000,2100,2100,2100,2000,2000,2000,2000,2050,2000,2075,2200,2100,2100,2000,2200,2200,2100,2100,2100,2200,2200,2200,2200,2200,2200,2200,2300,2300,2300,2250,2200,2200,2225,2250,2299,2300
"White Haven-Coro Lake","Memphis","TN","Memphis","Shelby",50,,,,,,,,,,,,,,,,,,,,,,,,750,700,704.5,725,725,725,750,760,750,795,785,800,825,795,795,795,795,750,795,795,795,795,795,795,750,750,750,795,795,795,795,795,750,795,795,795,750,750,765,795,797,810,825,750,800,775,750,795,850,800,795,812.5,850,850,785,775,775,750,750,750,750,795,795,815,825,775,800,807.5,825,850
"Downtown","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350,3532.5,3500,3547.5,3595,3570,3450,3500,3425,3650,3795,3597.5,3922,3672.5,3500,3497.5,3625,3750,3790,3792.5,3447.5,3495
