"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Taylor Ranch","Albuquerque","NM","Albuquerque","Bernalillo",260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.886,0.907,0.910588235294118,0.911764705882353,0.921264705882353,0.916470588235294,0.916470588235294,0.892303921568627,0.891666666666667,0.916470588235294,0.941176470588235,0.93452380952381,0.904705882352941,0.916470588235294,0.922619047619048,0.925
"Downtown","Stamford","CT","Bridgeport-Stamford-Norwalk","Fairfield",261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73411371237458,2.82732606873428,2.38562091503268,2.72947036847117,2.78170674210278,2.9547359597653,2.89162995594714,2.74135876042908,2.61697943763161,2.59395133673572,2.39312334187511,2.44897959183673,2.71739130434783
"Waikiki","Honolulu","HI","Urban Honolulu","Honolulu",262,,,,,,,,,,,,,,,,,,,,,,,,,,3.24773413897281,3.24773413897281,3.35950412293052,3.20340149143214,3.31912723793216,3.20497045449019,3.06278713629403,3.16029930488711,3.30981141123265,3.1962471479616,3.10344827586207,3.44036092998749,3.25850832729906,3.04932735426009,3.27306175470803,3.16057744937055,3.14454410000387,3.02874743326489,2.92682926829268,3.2258064516129,3.23572060123784,3.07429547395389,3.1592900165193,3.2,3.29249617151608,3.50877192982456,3.47105263157895,3.2582654347135,3.29698478276134,3.25850832729906,3.28947368421053,3.25850832729906,3.18965517241379,3.18965517241379,3.38394119897451,3.44563552833078,3.28014184397163,3.23970037453184,3.28952434985967,3.35293865205495,3.3112582781457,3.43333333333333,3.30482827997362,3.03398058252427,3.3651804670913,2.99102691924227,3.26497476488737,2.97555791710946,3.25850832729906,2.98996264834872,3.2412477074118,3.14452290853471,3.14585319351764,3.14253647586981,3.18478059650622,3.19735391400221,3.13360929055996,3.10160427807487,3.16455696202532,3.06971252848631,3.10505193115935,3.06965761511216,3.05418719211823,3.24548784218402,3.23867817245301,3.13545150501672,3.13921747042766,3.09466019417476,3.07646356033453,3.03490136570561,3.16455696202532,3.15533980582524
"Bucktown","Chicago","IL","Chicago-Naperville-Elgin","Cook",263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63120567375887,1.5625,1.64524126139818,1.68181818181818,1.7,1.66666666666667,1.54423076923077,1.66666666666667,1.75215128383067,1.7,1.70951393005335,1.73401360544218,1.71190476190476,1.60450522928399,1.71428571428571,1.75,1.66666666666667,1.595,1.62593380071256,1.67741935483871,1.66666666666667,1.58298319327731,1.5,1.70212765957447,1.75,1.76190476190476,1.72077922077922,1.725,1.70542635658915,1.6875,1.58712121212121,1.664,1.76905594405594,1.76150121065375,1.6919959473151,1.76696832579186,1.78571428571429,1.87808823529412,1.82142857142857,1.87647058823529,1.82142857142857,1.63636363636364,1.70588235294118,1.62962962962963,1.83333333333333,1.92307692307692,1.9,1.9,1.9375,1.92096296296296,1.85357142857143,1.91,1.84923481587757,1.8,1.78211538461538,1.83125,1.87096774193548,1.97722176422094,1.99485199485199,1.88888888888889,1.91666666666667,1.88235294117647,1.875,1.81363636363636,1.75
"Gowanus","New York","NY","New York-Newark-Jersey City","Kings",264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53238265002971,3.66666666666667,3.375,3.375,3.64924242424242,3.56111111111111,3.51666666666667,3.3475,3.35294117647059,3.28571428571429,3.30952380952381,3.25,3.19444444444444,3.67894736842105,3.70833333333333,3.80705882352941,3.87096774193548,3.987,3.575
"Prosperity Church Road","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg",265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05918727915194,1.06802120141343,1.06840077071291,1.05324228822462,0.953417026344721,0.929881023552768,0.926887194083589,0.970848056537102,0.893989983305509,0.992063492063492,1.06010016694491,1.03049332387186,1.02925243770314,1.01293454343812,1.08061766004989,0.964106844741235,0.969217970049917
"Hyde Park","Chicago","IL","Chicago-Naperville-Elgin","Cook",266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01523999718478,2.2530303030303,2.06776651556054,2.10487444608567,1.97122302158273,2.06403220330763,1.92857142857143,1.89910931174089,1.85904550499445,1.85544867842315,1.83295964125561,1.8360120084258,1.88124306326304,1.884759462666,1.84888888888889,1.93986928104575,1.9,1.91122071516646,1.89416846652268,1.94553072625698
"Point Loma Heights","San Diego","CA","San Diego-Carlsbad","San Diego",267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.033125,2.35714285714286,2.14772727272727,2.26136363636364,2.35143442622951,2.44516339869281,2.42149758454106,2.36200233493541,2.30113636363636,2.34042553191489,2.19837587006961,2.3,2.39132653061225,2.57563368765331,2.57563368765331,2.57563368765331,2.57563368765331,2.57563368765331,2.57563368765331,2.57563368765331,2.57563368765331
"Macgregor","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37056888942541,1.3241308793456,1.44307721786904,1.38059033989267,1.37466040781137,1.38004246284501,1.40960163432074,1.57286821705426,1.49236728184097,1.53076923076923,1.46392447741065,1.46666666666667,1.48568872987478,1.36114398479584,1.44961946398335,1.48479427549195,1.44812164579606,1.46496815286624,1.40093918685773,1.42857142857143,1.41884711779449,1.32029339853301
"Diamond Head-Kapahulu-St. Louis","Honolulu","HI","Urban Honolulu","Honolulu",269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86764705882353,2.82758620689655,2.93440122995097,2.96292629262926,3.17917219827468,3.33333333333333,3.44637491518852,3.25359128822984,3.30860888487872,3.16265060240964,3.06391063987924,2.99202127659574,2.90487421383648,2.8835085204885
