"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Hamilton Heights","New York","NY","New York-Newark-Jersey City","New York",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3350,3447.5,3472.5,3575,3484,3500,3400,3500,3400,3300,3391,3400,3547.5,3397.5,3397.5,3595,3625,3722.5,3872.5,3700
"Summerlin North","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",30,,,,,1672.5,1850,1900,1825,1700,1850,1700,1900,1750,1672.5,1750,1662.5,1650,1700,1695,1775,1650,1600,1695,1600,1600,1600,1700,1737.5,1795,1800,1795,1795,1700,1750,1753,1700,1750,1650,1695,1699,1800,1775,1775,1775,1785,1795,1795,1850,1850,1800,1800,1800,1795,1800,1850,1795,1795,1785,1750,1795,1795,1795,1800,1825,1892.5,1972.5,1895,1900,1899,1850,1795,1772.5,1795,1850,1900,1995,1955,1995,1999,1925,1950,1850,1872.5,1895,1825,1995,2025,1995,1997.5,2000,2100,2047.5,1997.5
"Jamaica Plain","Boston","MA","Boston-Cambridge-Newton","Suffolk",31,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3150,3000,3100,3100,3100,3150,3200,3000,3000,3200,3200,3100,3100,3100,3200,3200,3100,3000,2950,3000,3000,3200,3300,3300,3300,3350,3387.5,3200,3200,3200,3000,3000,3000,3300,3500,3500,3400,3400,3400,3400,3400,3400,3400,3000,3200,3275,3500,3500,3475,3600,3600,3600,3525,3400,3400,3400,3500,3600,3600,3600,3600,3700,3700,3700,3650,3500,3400
"Carmel Valley","San Diego","CA","San Diego-Carlsbad","San Diego",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950,4247.5,4500,4500,4500,4392.5,4100,4200,4350,4425,4375,4500,4500,4325,4497.5,4600,4650,4350,4500,4500,4372.5
"Englewood","Chicago","IL","Chicago-Naperville-Elgin","Cook",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1225,1262.5,1250,1200,1200,1225,1250,1275,1200,1250,1250,1350,1350,1350,1297.5,1300,1275,1250,1250
"East Boston","Boston","MA","Boston-Cambridge-Newton","Suffolk",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,2995,2900,2900,3000,3100,3000,3000,3000,3000,3100,3100,3100,3100,3200,3200,3100,3100,3000
"Brighton","Boston","MA","Boston-Cambridge-Newton","Suffolk",35,2600,2600,2600,2600,2550,2500,2500,2500,2600,2600,2700,2725,2650,2650,2650,2725,2800,2750,2750,2690,2800,2900,2800,2800,2800,2900,2900,2900,3000,3000,3000,3000,3000,3000,2950,2962.5,3000,3000,3000,3100,3199,3100,3100,3150,3200,3199,3200,3200,3200,3100,3187.5,3200,3200,3100,3150,3150,3100,3050,3100,3200,3200,3200,3200,3300,3300,3300,3300,3200,3200,3200,3200,3200,3400,3400,3400,3400,3400,3400,3400,3400,3400,3300,3400,3400,3400,3400,3400,3450,3500,3450,3400,3400,3400
"South Boston","Boston","MA","Boston-Cambridge-Newton","Suffolk",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,4500,4800,4800,4800,4400,4200,4000,4000,4200,4200,4000,3995,4600,4500,4500,4800,4800,4500,4400
"La Jolla","San Diego","CA","San Diego-Carlsbad","San Diego",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500,7500,8000,8400,8000,7500,8000,7995,7947.5,7450,7500,8000,7500,7500,7700,7200,7200,6675,6947.5
"Summerlin South","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2204,2135,2200,2200,2200,2050,2000,2000,2050,2032.5,2100,2150,2150,2250,2222.5,2075
"Corona Valley","Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2499,2500,2550,2600,2500,2500,2500,2597.5,2550,2525,2500,2500,2500,2520,2597.5,2597.5,2600,2600,2600,2600,2697.5
"South End","Boston","MA","Boston-Cambridge-Newton","Suffolk",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600,5200,5150,5000,5000,5100,5000,5000,5000,5000,5000,5000,4900,5050,5200,5200,5150,5200,4900,4800,4800,4800
"The Lakes","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1750,1700,1700,1800,1847.5,1812.5,1972.5,1950,1975,1950,1850,1922.5,1895,1850,1950,1950,1950,1895,1950,1997.5
"North Dorchester","Boston","MA","Boston-Cambridge-Newton","Suffolk",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2800,2900,2900,2900,3000,2800,2800,2750,2600,2800,2650,3000,3000,3200,3200,3200,3200,3200,3100,3050,3000,2900,3000,2900,3000,3195,3200,3200,3200,3100,2900,2900
"Capitol","Madison","WI","Madison","Dane",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175,2215,2185,2185,2137.5,2075,2010,1880,1887.5,1945,2185,2185
"Meadow Woods","Orlando","FL","Orlando-Kissimmee-Sanford","Orange",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1699,1629,1612.5,1650,1695,1695,1782.5,1720.5,1768,1774.5,1774.5,1749.5,1785,1775,1800,1850,1850,1810,1885,1895
