"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",16,,,,,,,,1100,995,1000,1025,1000,950,950,950,942.5,975,950,995,995,925,895,950,1050,962.5,950,850,850,875,850,855,890,875,895,895,895,897,925,900,900,900,895,850,900,950,950,975,962.5,950,950,1000,1099,1099,1050,1000,1000,1080,1062.5,1050,1050,1062.5,1100,1100,1099,1100,1095,1150,1150,1150,1095,1090,1150,1150,1100,1100,1050,1099.5,1090,1090,1025,1100,1095,1037,1150,1177.5,1200,1150,1150,1195,1195,1199,1200,1200,1197,1222,1200,1197,1190.5,1200,1250,1225,1219.5,1200,1175
"Flatbush","New York","NY","New York-Newark-Jersey City","Kings",17,,,,,,,,,,,,,,,,,,,,,,1412.5,1425,1495,1362.5,1325,1350,1350,1400,1400,1350,1325,1350,1350,1385,1400,1400,1462.5,1500,1550,1550,1500,1587,1600,1475,1545,1500,1547.5,1600,1625,1662.5,1600,1650,1650,1750,1600,1550,1712.5,1675,1750,1687.5,1700,1600,1600,1600,1650,1650,1625,1550,1650,1650,1650,1700,1662.5,1650,1550,1550,1587.5,1587,1550,1795,1587.5,1550,1650,1547.5,1500,1500,1545,1545,1545,1545,1547.5,1547.5,1522.5,1500,1500,1550,1650,1595,1650,1600,1600,1625,1662.5
"Alhambra","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",18,,,,,,,,,,,,,,650,695,699.5,700,697,700,700,700,675,700,740,750,762.5,725,699,712.5,699,699.5,725,700,725,700,695,700,700,727.5,700,700,695,699,695,750,770,737.5,770,765,788,788,793.5,788,765,784,788,795,788,788,788,788,788,788,797,793.5,788,793.5,799,800,850,850,850,850,875,850,800,795,797,799,788,795,850,797,850,850,872.5,800,850,908,899,895,885,875,850,850,925,897,950,975,987.5,950,950,995,997.5
"Crown Heights","New York","NY","New York-Newark-Jersey City","Kings",19,,,,,,,,,,,,,,,,,,,,,,1850,1800,1800,1800,1899,1850,1799.5,1832.5,1800,1922,1833,1850,1750,1655,1700,1675,1800,1850,2000,2095,2095,2033,2000,2000,2100,2097.5,2200,2200,2200,2200,2275,2350,2399.5,2400,2400,2400,2149.5,2199,2350,2250,2250,2375,2300,2400,2400,2400,2400,2472.5,2400,2400,2500,2500,2525,2400,2375,2350,2400,2375,2400,2250,2300,2200,2300,2199.5,2250,2200,2290,2225,2270,2275,2250,2250,2225,2250,2199.5,2199.5,2149.5,2174.5,2199,2350,2199.5,2250,2199.5
"Harlem","New York","NY","New York-Newark-Jersey City","New York",20,,,,,,,,,,,,,,1850,1900,1900,1925,1950,2037.5,1962.5,1972.5,1700,1695,1695,1800,1875,1797,1799.5,1850,1925,1875,1895,1995,1892.5,1800,1765,1799,1795,1890,1900,1900,1800,1800,1929,2100,2250,2297.5,2295,2300,2300,2500,2300,2295,2100,2200,2200,2150,2100,2100,2250,2150,2200,2272.5,2297.5,2272.5,2250,2212.5,2250,2250,2250,2295,2200,2100,2150,2100,2100,2200,2100,2225,2100,2100,2100,2100,2100,2212.5,2250,2272.5,2450,2495,2495,2225,2200,2200,2145,2125,2225,2200,2200,2200,2200,2250,2250,2200,2212.5
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229,1100,1150,1195,1150,1150,1050,1050,1000,1000,1000,1000,1000,1150,1150,1100,1147.5,1150,1200,1250,1250,1200,1175,1095,1150,1100,1100,1100,1097.5,1100,1150,1150,1100,1150,1150,1150,1199.5,1100,1200,1150,1150,1150,1250,1295,1225,1250,1295,1300,1350,1300,1250,1200,1225,1200,1180,1200,1195,1200,1200,1220,1270,1250,1250,1295,1295,1250
"East Harlem","New York","NY","New York-Newark-Jersey City","New York",22,,,,,,,,,,,,,,,,,,,2647.5,2500,2395,2400,2400,2550,2525,2350,2495,2450,2380.5,2495,2400,2395,2450,2395,2600,2595,2695,2650,2550,2500,2400,2395,2500,2550,2765,2850,2750,2750,2797.5,2750,2750,2900,2900,2900,2950,2950,2900,2950,2945,2950,2920,2900,2900,2950,2920,2900,2900,2900,2900,2900,2900,2900,2950,3095,2950,2900,2900,2940,2900,2900,2900,2900,2945,2920,2945,2900,2900,2900,2945,3095,3095,3095,2940,2972.5,2900,2950,2950,2920,2900,2900,2900,2900,2920,2900
"North Scottsdale","Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,1600,1595,1595,1592.5,1620,1681.5,1600,1675,1700,1725,1700,1700,1685,1700,1700,1650,1637.5,1695,1650
"Bushwick","New York","NY","New York-Newark-Jersey City","Kings",24,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,1657.5,1800,1800,1850,1800,1800,1800,1850,1750,1899,2000,2299,2399.5,2300,2200,2300,2300,2347,2150,2225,2200,2200,2200,2188.5,2200,2225,2300,2275,2500,2395,2400,2397.5,2475,2450,2397.5,2425,2500,2500,2499.5,2599,2500,2500,2600,2500,2699,2595,2700,2475,2344,2500,2500,2697.5,2400,2200,2450,2200,2275,2200,2200,2200,2200,2200,2225,2200,2324,2286.5,2200,2200,2250,2225,2200,2250,2400,2200,2200,2225,2200
"West San Jose","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2650,2650,2812.5,2987.5,2950,2850,2925,2797.5,2800,2900,2900,2925,2985,2995,3047.5,3191.5,2850,2900,3200,3095
